patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Rafaela,support,58.47,0.82,10.31,mythic,
,,Marcel,support,58.22,0.16,9.1,mythic,
,,Gloo,tank,57.05,0.57,49.22,mythic,
,,Lolita,support,56.51,0.09,0.35,mythic,
,,Argus,fighter,55.7,0.54,1.28,mythic,
,,Minotaur,tank,55.26,0.5,4.55,mythic,
,,Sun,fighter,55.18,1.79,47.72,mythic,
,,Estes,support,54.81,0.66,59.34,mythic,
,,Masha,fighter,54.6,0.06,0.17,mythic,
,,Hanabi,marksman,54.35,4.23,18.12,mythic,
,,Belerick,tank,54.23,1.52,58.88,mythic,
,,Floryn,support,54.13,0.79,19.12,mythic,
,,Khufra,tank,53.73,0.14,0.41,mythic,
,,Popol and Kupa,marksman,53.51,0.36,0.38,mythic,
,,Atlas,tank,53.42,0.71,12.72,mythic,
,,Carmilla,support,53.37,0.56,1.74,mythic,
,,Miya,marksman,53.18,3.85,21.36,mythic,
,,Ling,assassin,53.07,0.47,1.31,mythic,
,,Valir,mage,53.0,1.08,3.56,mythic,
,,Silvanna,fighter,52.74,1.63,4.94,mythic,
,,Zhask,mage,52.72,0.46,0.95,mythic,
,,Natalia,assassin,52.65,0.43,4.3,mythic,
,,Hilda,fighter,52.56,0.83,8.81,mythic,
,,Gord,mage,52.52,0.91,2.08,mythic,
,,Khaleed,fighter,52.49,0.11,0.17,mythic,
,,Barats,tank,52.35,0.57,3.0,mythic,
,,Benedetta,assassin,52.17,0.31,0.67,mythic,
,,Bane,fighter,52.1,0.38,0.27,mythic,
,,Edith,tank,51.98,0.24,0.16,mythic,
,,Minsitthar,fighter,51.78,0.78,13.77,mythic,
,,Diggie,support,51.7,0.15,3.3,mythic,
,,Melissa,marksman,51.69,1.17,9.09,mythic,
,,Eudora,mage,51.67,1.86,57.99,mythic,
,,Zetian,mage,51.65,1.22,10.79,mythic,
,,Terizla,fighter,51.58,0.39,0.44,mythic,
,,Cyclops,mage,51.57,0.77,0.46,mythic,
,,Vale,mage,51.53,0.82,0.52,mythic,
,,Akai,tank,51.51,0.45,5.89,mythic,
,,Uranus,tank,51.38,0.36,0.95,mythic,
