patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.65,0.19,13.99,mythic,
,,Rafaela,support,57.8,0.76,7.99,mythic,
,,Gloo,tank,57.69,0.52,60.07,mythic,
,,Lolita,support,56.25,0.09,0.38,mythic,
,,Masha,fighter,56.0,0.07,0.21,mythic,
,,Minotaur,tank,55.62,0.58,3.95,mythic,
,,Floryn,support,55.13,0.89,24.68,mythic,
,,Argus,fighter,54.87,0.37,0.95,mythic,
,,Atlas,tank,54.6,0.98,16.27,mythic,
,,Belerick,tank,54.23,1.42,62.15,mythic,
,,Ling,assassin,54.14,0.79,3.14,mythic,
,,Khufra,tank,54.08,0.2,0.62,mythic,
,,Sun,fighter,54.05,1.68,52.51,mythic,
,,Popol and Kupa,marksman,53.81,0.33,0.26,mythic,
,,Hanabi,marksman,53.72,3.62,13.63,mythic,
,,Estes,support,53.61,0.61,52.43,mythic,
,,Miya,marksman,53.25,3.45,16.21,mythic,
,,Carmilla,support,53.21,0.61,1.49,mythic,
,,Diggie,support,53.19,0.19,5.55,mythic,
,,Benedetta,assassin,53.11,0.4,0.67,mythic,
,,Hanzo,assassin,52.99,0.39,5.18,mythic,
,,Valir,mage,52.9,1.0,3.12,mythic,
,,Irithel,marksman,52.9,0.46,0.62,mythic,
,,Gord,mage,52.7,1.32,4.02,mythic,
,,Khaleed,fighter,52.67,0.14,0.24,mythic,
,,Melissa,marksman,52.64,1.03,4.3,mythic,
,,Barats,tank,52.62,0.46,1.26,mythic,
,,Silvanna,fighter,52.24,1.36,4.04,mythic,
,,Eudora,mage,52.14,2.14,35.53,mythic,
,,Kagura,mage,52.14,0.52,1.11,mythic,
,,Hilda,fighter,52.13,0.73,7.14,mythic,
,,Minsitthar,fighter,52.0,0.85,21.38,mythic,
,,Zhask,mage,51.97,0.44,0.65,mythic,
,,Natalia,assassin,51.97,0.37,3.91,mythic,
,,Cyclops,mage,51.81,0.75,0.35,mythic,
,,Yi Sun-shin,assassin,51.77,1.46,11.58,mythic,
,,Terizla,fighter,51.72,0.42,0.42,mythic,
