patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.7,0.26,29.72,mythic,
,,Masha,fighter,57.57,0.12,0.42,mythic,
,,Rafaela,support,57.28,0.79,6.33,mythic,
,,Melissa,marksman,55.31,1.14,3.35,mythic,
,,Gloo,tank,55.11,0.58,55.63,mythic,
,,Gord,mage,54.92,1.58,4.81,mythic,
,,Lolita,support,54.88,0.09,0.38,mythic,
,,Khufra,tank,54.77,0.33,2.47,mythic,
,,Floryn,support,54.55,1.08,23.42,mythic,
,,Minotaur,tank,54.51,0.77,4.94,mythic,
,,Atlas,tank,53.83,1.06,21.6,mythic,
,,Argus,fighter,53.72,0.4,1.05,mythic,
,,Ling,assassin,53.53,1.12,6.09,mythic,
,,Sun,fighter,53.38,1.53,49.3,mythic,
,,Lukas,fighter,53.33,0.47,3.0,mythic,
,,Belerick,tank,53.31,1.56,58.74,mythic,
,,Diggie,support,53.23,0.22,5.89,mythic,
,,Hanabi,marksman,53.22,3.27,10.8,mythic,
,,Popol and Kupa,marksman,52.76,0.29,0.28,mythic,
,,Benedetta,assassin,52.66,0.43,0.75,mythic,
,,Miya,marksman,52.55,3.3,14.07,mythic,
,,Valir,mage,52.29,0.99,2.52,mythic,
,,Eudora,mage,52.23,2.26,24.41,mythic,
,,Hanzo,assassin,52.23,0.42,4.61,mythic,
,,Kaja,support,52.21,0.21,1.77,mythic,
,,Barats,tank,52.06,0.46,0.92,mythic,
,,Yi Sun-shin,assassin,51.97,1.68,12.88,mythic,
,,Irithel,marksman,51.96,0.52,0.52,mythic,
,,Estes,support,51.9,0.61,39.62,mythic,
,,Minsitthar,fighter,51.86,0.82,17.62,mythic,
,,Kadita,mage,51.59,0.88,6.75,mythic,
,,Bane,fighter,51.56,0.27,0.2,mythic,
,,Carmilla,support,51.5,0.72,1.33,mythic,
,,Silvanna,fighter,51.5,1.17,2.75,mythic,
,,Fredrinn,fighter,51.48,0.62,5.72,mythic,
,,Natalia,assassin,51.48,0.35,2.73,mythic,
,,Hirara,assassin,51.37,0.57,45.17,mythic,
,,Hilda,fighter,51.32,0.7,5.46,mythic,
,,Khaleed,fighter,51.31,0.19,0.2,mythic,
,,Guinevere,fighter,51.18,1.27,21.67,mythic,
,,Zhask,mage,51.15,0.43,0.65,mythic,
,,Terizla,fighter,51.13,0.41,0.34,mythic,
,,Kagura,mage,51.03,0.65,0.95,mythic,
,,Cyclops,mage,51.0,0.67,0.33,mythic,
,,Paquito,fighter,50.89,1.51,61.98,mythic,
,,Alice,tank,50.83,0.66,4.15,mythic,
,,Zetian,mage,50.81,1.67,12.62,mythic,
,,Faramis,support,50.71,0.09,0.35,mythic,
,,Leomord,fighter,50.69,0.47,1.73,mythic,
,,Aamon,assassin,50.66,0.78,4.41,mythic,
,,Badang,fighter,50.66,1.14,1.57,mythic,
,,Uranus,tank,50.65,0.44,0.8,mythic,
,,Beatrix,marksman,50.6,0.75,0.91,mythic,
,,Edith,tank,50.39,0.23,0.13,mythic,
,,Yve,mage,50.39,0.07,0.05,mythic,
,,Akai,tank,50.36,0.64,17.3,mythic,
,,Natan,marksman,50.33,0.29,0.16,mythic,
,,Aulus,fighter,50.32,0.24,0.44,mythic,
,,Vale,mage,50.16,0.6,0.33,mythic,
,,Julian,assassin,50.1,0.88,2.11,mythic,
,,Saber,assassin,49.91,1.04,31.26,mythic,
,,X.Borg,fighter,49.9,0.61,3.32,mythic,
,,Aldous,fighter,49.88,0.41,0.53,mythic,
,,Sora,fighter,49.75,0.66,9.56,mythic,
,,Brody,marksman,49.73,0.63,0.71,mythic,
,,Ruby,fighter,49.68,0.41,0.65,mythic,
,,Suyou,assassin,49.67,0.9,3.11,mythic,
,,Odette,mage,49.65,0.55,0.37,mythic,
,,Alucard,fighter,49.64,0.52,0.5,mythic,
,,Vexana,mage,49.59,1.91,1.86,mythic,
,,Moskov,marksman,49.48,0.86,0.34,mythic,
,,Cecilion,mage,49.44,0.61,0.21,mythic,
,,Johnson,tank,49.41,0.79,3.0,mythic,
,,Yu Zhong,fighter,49.39,0.66,1.59,mythic,
,,Thamuz,fighter,49.37,0.97,2.95,mythic,
,,Obsidia,marksman,49.26,0.58,0.9,mythic,
,,Clint,marksman,49.23,0.71,0.69,mythic,
,,Gusion,assassin,49.19,1.49,7.88,mythic,
,,Dyrroth,fighter,49.09,1.88,2.18,mythic,
,,Esmeralda,tank,49.07,1.01,3.3,mythic,
,,Angela,support,48.94,1.73,13.38,mythic,
,,Lylia,mage,48.9,0.51,0.62,mythic,
,,Nolan,assassin,48.84,0.59,1.24,mythic,
,,Lunox,mage,48.83,0.25,0.18,mythic,
,,Lapu-Lapu,fighter,48.8,0.44,0.96,mythic,
,,Bruno,marksman,48.79,0.17,0.12,mythic,
,,Phoveus,fighter,48.75,0.32,1.04,mythic,
,,Chip,support,48.73,0.05,0.72,mythic,
,,Roger,fighter,48.63,0.37,0.14,mythic,
,,Arlott,fighter,48.61,0.45,0.64,mythic,
,,Helcurt,assassin,48.61,0.92,28.06,mythic,
,,Ixia,marksman,48.55,0.8,1.34,mythic,
,,Karrie,marksman,48.54,0.72,2.45,mythic,
,,Claude,marksman,48.49,0.98,0.45,mythic,
,,Yin,fighter,48.25,0.49,2.59,mythic,
,,Freya,fighter,48.14,0.68,2.87,mythic,
,,Xavier,mage,48.14,0.45,0.13,mythic,
,,Wanwan,marksman,48.11,0.14,0.19,mythic,
,,Hayabusa,assassin,48.09,0.64,2.76,mythic,
,,Chang'e,mage,48.04,0.71,0.54,mythic,
,,Aurora,mage,48.0,0.58,0.41,mythic,
,,Selena,assassin,47.89,1.2,4.79,mythic,
,,Jawhead,fighter,47.88,0.44,0.43,mythic,
,,Hylos,tank,47.86,0.33,0.66,mythic,
,,Balmond,fighter,47.83,1.07,1.16,mythic,
,,Joy,assassin,47.67,0.28,0.45,mythic,
,,Kimmy,marksman,47.65,0.56,0.45,mythic,
,,Layla,marksman,47.56,1.18,1.18,mythic,
,,Lesley,marksman,47.34,1.99,13.88,mythic,
,,Grock,tank,47.31,0.43,1.43,mythic,
,,Luo Yi,mage,47.31,0.18,0.09,mythic,
,,Zhuxin,mage,47.31,0.21,2.15,mythic,
,,Harith,mage,47.29,0.26,0.38,mythic,
,,Cici,fighter,47.27,0.3,1.27,mythic,
,,Novaria,mage,47.25,0.62,1.02,mythic,
,,Martis,fighter,47.14,0.6,0.67,mythic,
,,Harley,assassin,46.91,0.93,17.0,mythic,
,,Nana,mage,46.75,1.58,4.73,mythic,
,,Pharsa,mage,46.57,0.45,0.32,mythic,
,,Alpha,fighter,46.33,1.05,0.69,mythic,
,,Zilong,fighter,46.23,0.81,0.61,mythic,
,,Baxia,tank,46.18,0.11,0.31,mythic,
,,Chou,fighter,46.18,1.27,4.33,mythic,
,,Karina,assassin,46.18,0.53,1.75,mythic,
,,Gatotkaca,tank,45.83,0.63,0.49,mythic,
,,Tigreal,tank,45.7,1.93,8.77,mythic,
,,Mathilda,support,45.15,0.17,0.47,mythic,
,,Valentina,mage,44.11,0.15,0.12,mythic,
,,Lancelot,assassin,43.94,0.57,0.72,mythic,
,,Kalea,support,43.83,0.13,0.49,mythic,
,,Franco,tank,43.15,1.13,5.92,mythic,
,,Fanny,assassin,42.96,0.65,2.62,mythic,
,,Granger,marksman,42.23,1.33,2.23,mythic,
