patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Rafaela,support,58.58,0.93,11.15,mythic,
,,Marcel,support,57.95,0.15,8.72,mythic,
,,Lolita,support,56.13,0.09,0.37,mythic,
,,Minotaur,tank,56.05,0.51,4.84,mythic,
,,Gloo,tank,56.01,0.51,48.85,mythic,
,,Argus,fighter,55.82,0.47,1.28,mythic,
,,Estes,support,55.66,0.67,60.51,mythic,
,,Sun,fighter,55.18,1.71,45.4,mythic,
,,Belerick,tank,54.56,1.53,58.3,mythic,
,,Hanabi,marksman,54.17,4.16,17.88,mythic,
,,Masha,fighter,54.03,0.06,0.19,mythic,
,,Floryn,support,54.01,0.83,19.07,mythic,
,,Benedetta,assassin,53.77,0.29,0.64,mythic,
,,Khufra,tank,53.66,0.13,0.39,mythic,
,,Popol and Kupa,marksman,53.63,0.35,0.39,mythic,
,,Miya,marksman,53.56,3.92,22.37,mythic,
,,Atlas,tank,53.54,0.69,12.61,mythic,
,,Barats,tank,53.3,0.59,3.45,mythic,
,,Carmilla,support,53.23,0.55,1.71,mythic,
,,Ling,assassin,53.16,0.49,1.16,mythic,
,,Valir,mage,52.92,1.04,3.57,mythic,
,,Hilda,fighter,52.72,0.83,11.51,mythic,
,,Khaleed,fighter,52.67,0.11,0.17,mythic,
,,Zhask,mage,52.59,0.45,0.98,mythic,
,,Gord,mage,52.45,0.84,1.92,mythic,
,,Silvanna,fighter,52.4,1.63,5.04,mythic,
,,Bane,fighter,52.29,0.35,0.27,mythic,
,,Eudora,mage,52.14,1.79,58.68,mythic,
,,Melissa,marksman,52.0,1.18,9.74,mythic,
,,Diggie,support,51.99,0.15,3.0,mythic,
,,Natalia,assassin,51.99,0.43,4.27,mythic,
,,Kagura,mage,51.9,0.45,1.18,mythic,
,,Minsitthar,fighter,51.84,0.74,11.52,mythic,
,,Zetian,mage,51.67,1.15,10.18,mythic,
,,Yi Sun-shin,assassin,51.62,1.13,10.52,mythic,
,,Cyclops,mage,51.57,0.76,0.49,mythic,
,,Edith,tank,51.53,0.25,0.16,mythic,
,,Terizla,fighter,51.47,0.37,0.43,mythic,
,,X.Borg,fighter,51.44,0.71,5.54,mythic,
,,Aamon,assassin,51.4,0.93,7.5,mythic,
,,Roger,fighter,51.39,0.32,0.17,mythic,
,,Hanzo,assassin,51.34,0.63,28.78,mythic,
,,Vale,mage,51.15,0.8,0.56,mythic,
,,Akai,tank,51.13,0.43,4.84,mythic,
,,Johnson,tank,51.0,0.98,3.77,mythic,
,,Fredrinn,fighter,50.92,0.34,3.28,mythic,
,,Uranus,tank,50.92,0.4,0.96,mythic,
,,Irithel,marksman,50.8,0.38,0.66,mythic,
,,Julian,assassin,50.73,1.06,3.13,mythic,
,,Lukas,fighter,50.71,0.32,1.62,mythic,
,,Vexana,mage,50.66,2.21,3.25,mythic,
,,Obsidia,marksman,50.65,0.68,2.68,mythic,
,,Paquito,fighter,50.65,1.46,47.24,mythic,
,,Guinevere,fighter,50.5,0.91,7.72,mythic,
,,Badang,fighter,50.45,0.88,0.8,mythic,
,,Kadita,mage,50.32,0.7,6.64,mythic,
,,Suyou,assassin,50.29,0.67,2.07,mythic,
,,Saber,assassin,50.29,1.32,47.73,mythic,
,,Hirara,assassin,50.26,0.5,37.02,mythic,
,,Aulus,fighter,50.16,0.19,0.38,mythic,
,,Thamuz,fighter,50.08,1.22,4.73,mythic,
,,Aldous,fighter,50.07,0.53,0.82,mythic,
