patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.93,0.17,11.36,mythic,
,,Rafaela,support,57.77,0.81,9.77,mythic,
,,Gloo,tank,56.92,0.56,52.14,mythic,
,,Masha,fighter,56.0,0.06,0.17,mythic,
,,Hanzo,assassin,55.29,0.8,14.11,mythic,
,,Sun,fighter,55.11,1.72,51.11,mythic,
,,Minotaur,tank,55.06,0.55,4.13,mythic,
,,Argus,fighter,54.94,0.34,0.85,mythic,
,,Lolita,support,54.79,0.09,0.38,mythic,
,,Atlas,tank,54.5,0.85,14.81,mythic,
,,Belerick,tank,54.39,1.49,60.46,mythic,
,,Hanabi,marksman,53.93,4.16,15.7,mythic,
,,Floryn,support,53.82,0.84,21.63,mythic,
,,Estes,support,53.81,0.65,57.07,mythic,
,,Miya,marksman,53.69,3.67,18.11,mythic,
,,Khufra,tank,53.66,0.16,0.49,mythic,
,,Ling,assassin,53.52,0.62,2.2,mythic,
,,Popol and Kupa,marksman,53.33,0.37,0.34,mythic,
,,Valir,mage,53.1,1.08,3.31,mythic,
,,Carmilla,support,52.85,0.59,1.78,mythic,
,,Gord,mage,52.66,1.05,2.72,mythic,
,,Benedetta,assassin,52.65,0.35,0.71,mythic,
,,Silvanna,fighter,52.55,1.57,4.26,mythic,
,,Zhask,mage,52.47,0.47,0.8,mythic,
,,Melissa,marksman,52.37,1.08,6.07,mythic,
,,Minsitthar,fighter,52.25,0.79,17.89,mythic,
,,Natalia,assassin,52.1,0.42,4.24,mythic,
,,Khaleed,fighter,52.06,0.13,0.21,mythic,
,,Hilda,fighter,51.88,0.83,6.12,mythic,
,,Cyclops,mage,51.87,0.81,0.39,mythic,
,,Zetian,mage,51.81,1.35,13.68,mythic,
,,Edith,tank,51.77,0.23,0.13,mythic,
,,Kagura,mage,51.76,0.44,1.13,mythic,
,,Diggie,support,51.66,0.17,4.29,mythic,
,,Barats,tank,51.61,0.5,1.66,mythic,
,,Eudora,mage,51.6,1.98,51.39,mythic,
,,Vale,mage,51.53,0.78,0.45,mythic,
,,Akai,tank,51.49,0.52,9.45,mythic,
,,Irithel,marksman,51.3,0.43,0.61,mythic,
,,Bane,fighter,51.18,0.39,0.23,mythic,
,,Yi Sun-shin,assassin,51.14,1.28,11.86,mythic,
,,Aamon,assassin,51.1,0.94,6.43,mythic,
,,Terizla,fighter,51.04,0.38,0.39,mythic,
,,Kadita,mage,51.0,0.74,6.74,mythic,
,,Uranus,tank,50.83,0.37,0.85,mythic,
,,Badang,fighter,50.81,0.92,0.98,mythic,
,,Vexana,mage,50.74,2.11,2.63,mythic,
,,X.Borg,fighter,50.66,0.72,5.28,mythic,
,,Paquito,fighter,50.63,1.49,55.93,mythic,
,,Lukas,fighter,50.58,0.34,0.94,mythic,
,,Alice,tank,50.57,0.57,5.2,mythic,
,,Aulus,fighter,50.55,0.24,0.43,mythic,
,,Johnson,tank,50.44,0.96,3.35,mythic,
,,Saber,assassin,50.43,1.18,44.27,mythic,
,,Guinevere,fighter,50.41,1.08,11.64,mythic,
,,Fredrinn,fighter,50.38,0.44,3.37,mythic,
,,Natan,marksman,50.36,0.24,0.19,mythic,
,,Aldous,fighter,50.35,0.54,0.74,mythic,
,,Thamuz,fighter,50.26,1.13,3.73,mythic,
,,Hirara,assassin,50.24,0.4,34.4,mythic,
,,Leomord,fighter,50.06,0.33,2.17,mythic,
,,Julian,assassin,49.96,1.1,2.97,mythic,
,,Lylia,mage,49.93,0.47,0.95,mythic,
,,Sora,fighter,49.85,0.49,7.91,mythic,
,,Roger,fighter,49.75,0.36,0.16,mythic,
,,Alucard,fighter,49.51,0.59,0.57,mythic,
,,Ruby,fighter,49.48,0.37,0.99,mythic,
,,Suyou,assassin,49.44,0.75,2.27,mythic,
,,Angela,support,49.29,1.6,14.69,mythic,
,,Lapu-Lapu,fighter,49.27,0.39,1.72,mythic,
,,Dyrroth,fighter,49.22,1.83,2.16,mythic,
,,Aurora,mage,49.2,0.55,0.53,mythic,
,,Odette,mage,49.17,0.57,0.41,mythic,
,,Obsidia,marksman,49.07,0.49,1.24,mythic,
,,Yu Zhong,fighter,49.04,0.64,2.71,mythic,
,,Cecilion,mage,49.04,0.59,0.25,mythic,
,,Chang'e,mage,49.02,0.94,0.81,mythic,
,,Novaria,mage,48.99,1.36,6.38,mythic,
,,Lunox,mage,48.88,0.17,0.26,mythic,
,,Ixia,marksman,48.84,0.89,2.41,mythic,
,,Yin,fighter,48.81,0.69,3.03,mythic,
,,Beatrix,marksman,48.73,0.54,0.7,mythic,
,,Gusion,assassin,48.73,1.7,8.0,mythic,
,,Yve,mage,48.68,0.03,0.06,mythic,
,,Brody,marksman,48.56,0.53,1.23,mythic,
,,Moskov,marksman,48.56,0.8,0.38,mythic,
,,Phoveus,fighter,48.54,0.26,0.89,mythic,
,,Faramis,support,48.52,0.05,0.35,mythic,
,,Helcurt,assassin,48.34,0.94,26.68,mythic,
,,Esmeralda,tank,48.33,0.83,3.04,mythic,
,,Hylos,tank,48.27,0.36,1.16,mythic,
,,Jawhead,fighter,48.17,0.53,0.65,mythic,
,,Selena,assassin,48.1,1.2,6.8,mythic,
,,Balmond,fighter,47.92,1.16,1.14,mythic,
,,Clint,marksman,47.89,0.55,0.76,mythic,
,,Grock,tank,47.78,0.41,1.56,mythic,
,,Layla,marksman,47.78,1.48,1.57,mythic,
,,Nana,mage,47.71,1.93,5.9,mythic,
,,Hayabusa,assassin,47.7,0.71,3.3,mythic,
,,Wanwan,marksman,47.62,0.15,0.27,mythic,
,,Martis,fighter,47.59,0.62,1.07,mythic,
,,Nolan,assassin,47.54,0.39,1.09,mythic,
,,Zilong,fighter,47.51,1.02,0.61,mythic,
,,Cici,fighter,47.46,0.32,2.32,mythic,
,,Claude,marksman,47.45,0.63,0.5,mythic,
,,Arlott,fighter,47.45,0.33,0.6,mythic,
,,Xavier,mage,47.39,0.53,0.21,mythic,
,,Baxia,tank,47.36,0.07,0.22,mythic,
,,Freya,fighter,47.33,0.61,2.66,mythic,
,,Kimmy,marksman,47.11,0.59,0.65,mythic,
,,Karrie,marksman,47.05,0.56,1.74,mythic,
,,Harley,assassin,46.98,1.21,18.88,mythic,
,,Kaja,support,46.93,0.5,38.18,mythic,
,,Pharsa,mage,46.91,0.46,0.38,mythic,
,,Luo Yi,mage,46.85,0.17,0.11,mythic,
,,Bruno,marksman,46.77,0.14,0.11,mythic,
,,Lesley,marksman,46.75,2.09,21.2,mythic,
,,Zhuxin,mage,46.65,0.08,0.7,mythic,
,,Tigreal,tank,46.22,2.38,12.98,mythic,
,,Chou,fighter,45.98,1.23,4.41,mythic,
,,Alpha,fighter,45.95,1.14,0.62,mythic,
,,Chip,support,45.85,0.04,0.59,mythic,
,,Karina,assassin,45.82,0.75,3.07,mythic,
,,Gatotkaca,tank,45.63,0.76,0.64,mythic,
,,Joy,assassin,45.4,0.12,0.39,mythic,
,,Harith,mage,45.33,0.13,0.17,mythic,
,,Mathilda,support,44.22,0.09,0.19,mythic,
,,Kalea,support,43.84,0.12,0.47,mythic,
,,Lancelot,assassin,43.71,0.53,0.8,mythic,
,,Valentina,mage,42.83,0.07,0.11,mythic,
,,Franco,tank,42.8,1.25,6.59,mythic,
,,Fanny,assassin,41.59,0.54,2.45,mythic,
,,Granger,marksman,40.25,1.24,2.97,mythic,
