patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.61,0.18,12.84,mythic,
,,Rafaela,support,57.86,0.79,8.48,mythic,
,,Gloo,tank,56.98,0.52,57.03,mythic,
,,Masha,fighter,56.88,0.06,0.18,mythic,
,,Lolita,support,56.01,0.09,0.38,mythic,
,,Minotaur,tank,55.09,0.57,4.0,mythic,
,,Argus,fighter,55.03,0.33,0.89,mythic,
,,Atlas,tank,54.67,0.94,15.49,mythic,
,,Floryn,support,54.4,0.87,22.55,mythic,
,,Khufra,tank,54.37,0.19,0.56,mythic,
,,Sun,fighter,54.3,1.76,51.03,mythic,
,,Ling,assassin,54.18,0.7,2.66,mythic,
,,Belerick,tank,53.82,1.47,60.4,mythic,
,,Hanabi,marksman,53.77,3.81,14.53,mythic,
,,Benedetta,assassin,53.72,0.37,0.62,mythic,
,,Hanzo,assassin,53.55,0.41,5.45,mythic,
,,Popol and Kupa,marksman,53.46,0.38,0.35,mythic,
,,Miya,marksman,53.24,3.62,17.39,mythic,
,,Gord,mage,53.23,1.16,3.4,mythic,
,,Estes,support,53.09,0.64,54.04,mythic,
,,Valir,mage,52.95,1.03,3.21,mythic,
,,Carmilla,support,52.75,0.58,1.52,mythic,
,,Diggie,support,52.69,0.18,4.78,mythic,
,,Melissa,marksman,52.59,1.04,4.63,mythic,
,,Silvanna,fighter,52.56,1.49,4.29,mythic,
,,Barats,tank,52.49,0.4,1.2,mythic,
,,Irithel,marksman,52.46,0.45,0.61,mythic,
,,Hilda,fighter,52.44,0.76,6.39,mythic,
,,Khaleed,fighter,52.31,0.14,0.22,mythic,
,,Zhask,mage,52.19,0.46,0.74,mythic,
,,Terizla,fighter,52.1,0.41,0.43,mythic,
,,Yi Sun-shin,assassin,52.04,1.35,11.39,mythic,
,,Minsitthar,fighter,51.89,0.84,20.05,mythic,
,,Zetian,mage,51.78,1.46,14.72,mythic,
,,Natalia,assassin,51.76,0.39,4.08,mythic,
,,Kadita,mage,51.72,0.74,6.87,mythic,
,,Kagura,mage,51.61,0.47,1.13,mythic,
,,Eudora,mage,51.54,2.06,41.11,mythic,
,,Cyclops,mage,51.5,0.75,0.35,mythic,
,,Akai,tank,51.47,0.55,11.18,mythic,
,,Bane,fighter,51.39,0.36,0.21,mythic,
,,Uranus,tank,51.2,0.39,0.88,mythic,
,,Badang,fighter,51.07,1.01,1.21,mythic,
,,Vale,mage,50.98,0.74,0.38,mythic,
,,Lukas,fighter,50.97,0.33,0.87,mythic,
,,Edith,tank,50.91,0.23,0.13,mythic,
,,Aamon,assassin,50.9,0.93,5.47,mythic,
,,Yve,mage,50.77,0.04,0.06,mythic,
,,Alice,tank,50.72,0.58,5.24,mythic,
,,Guinevere,fighter,50.71,1.12,12.98,mythic,
,,X.Borg,fighter,50.61,0.69,4.07,mythic,
,,Fredrinn,fighter,50.6,0.5,3.8,mythic,
,,Aulus,fighter,50.54,0.27,0.5,mythic,
,,Paquito,fighter,50.49,1.55,58.29,mythic,
,,Leomord,fighter,50.46,0.4,2.15,mythic,
,,Julian,assassin,50.45,1.1,3.07,mythic,
,,Faramis,support,50.43,0.05,0.35,mythic,
,,Natan,marksman,50.41,0.25,0.18,mythic,
,,Roger,fighter,50.31,0.41,0.16,mythic,
,,Aldous,fighter,50.22,0.5,0.67,mythic,
,,Thamuz,fighter,50.17,1.07,3.22,mythic,
,,Sora,fighter,50.07,0.52,8.28,mythic,
,,Vexana,mage,50.03,2.11,2.49,mythic,
,,Saber,assassin,49.99,1.11,42.84,mythic,
,,Suyou,assassin,49.94,0.75,2.54,mythic,
,,Johnson,tank,49.85,0.95,3.58,mythic,
,,Novaria,mage,49.79,1.25,4.33,mythic,
,,Lylia,mage,49.74,0.46,0.88,mythic,
,,Hirara,assassin,49.7,0.46,35.45,mythic,
,,Lunox,mage,49.64,0.18,0.24,mythic,
,,Alucard,fighter,49.57,0.62,0.58,mythic,
,,Brody,marksman,49.53,0.55,1.07,mythic,
,,Lapu-Lapu,fighter,49.47,0.41,1.45,mythic,
,,Ruby,fighter,49.47,0.37,0.83,mythic,
,,Yu Zhong,fighter,49.45,0.66,2.27,mythic,
,,Odette,mage,49.41,0.56,0.37,mythic,
,,Beatrix,marksman,49.03,0.57,0.66,mythic,
,,Clint,marksman,49.0,0.61,0.74,mythic,
,,Ixia,marksman,48.98,0.92,2.1,mythic,
,,Angela,support,48.96,1.63,15.16,mythic,
,,Obsidia,marksman,48.95,0.52,1.15,mythic,
,,Esmeralda,tank,48.91,0.89,3.28,mythic,
,,Gusion,assassin,48.9,1.77,8.39,mythic,
,,Moskov,marksman,48.83,0.79,0.35,mythic,
,,Yin,fighter,48.78,0.62,2.82,mythic,
,,Helcurt,assassin,48.74,0.94,30.29,mythic,
,,Chang'e,mage,48.71,0.91,0.75,mythic,
,,Cecilion,mage,48.69,0.59,0.22,mythic,
,,Dyrroth,fighter,48.62,1.68,1.87,mythic,
,,Aurora,mage,48.6,0.55,0.45,mythic,
,,Claude,marksman,48.6,0.78,0.54,mythic,
,,Hylos,tank,48.26,0.36,0.94,mythic,
,,Xavier,mage,48.22,0.48,0.17,mythic,
,,Jawhead,fighter,48.22,0.53,0.59,mythic,
,,Balmond,fighter,48.2,1.25,1.31,mythic,
,,Baxia,tank,48.14,0.09,0.24,mythic,
,,Phoveus,fighter,48.06,0.27,0.92,mythic,
,,Zhuxin,mage,47.97,0.1,0.89,mythic,
,,Selena,assassin,47.95,1.21,7.1,mythic,
,,Hayabusa,assassin,47.93,0.74,3.17,mythic,
,,Bruno,marksman,47.82,0.14,0.1,mythic,
,,Nolan,assassin,47.81,0.44,1.14,mythic,
,,Wanwan,marksman,47.75,0.12,0.22,mythic,
,,Karrie,marksman,47.75,0.61,1.88,mythic,
,,Arlott,fighter,47.75,0.38,0.65,mythic,
,,Martis,fighter,47.65,0.6,0.85,mythic,
,,Harley,assassin,47.57,1.1,18.46,mythic,
,,Cici,fighter,47.43,0.31,1.73,mythic,
,,Luo Yi,mage,47.39,0.17,0.11,mythic,
,,Layla,marksman,47.37,1.36,1.31,mythic,
,,Freya,fighter,47.37,0.63,2.75,mythic,
,,Nana,mage,47.24,1.86,5.85,mythic,
,,Kaja,support,47.24,0.67,47.53,mythic,
,,Kimmy,marksman,47.23,0.58,0.62,mythic,
,,Grock,tank,47.22,0.43,1.7,mythic,
,,Zilong,fighter,47.1,0.91,0.55,mythic,
,,Lesley,marksman,46.99,2.1,19.32,mythic,
,,Pharsa,mage,46.91,0.47,0.34,mythic,
,,Chip,support,46.65,0.04,0.57,mythic,
,,Chou,fighter,46.22,1.34,6.94,mythic,
,,Joy,assassin,46.2,0.15,0.44,mythic,
,,Harith,mage,46.14,0.16,0.2,mythic,
,,Karina,assassin,45.99,0.7,2.53,mythic,
,,Tigreal,tank,45.94,2.37,13.74,mythic,
,,Alpha,fighter,45.76,1.09,0.53,mythic,
,,Mathilda,support,45.72,0.1,0.25,mythic,
,,Gatotkaca,tank,45.25,0.71,0.56,mythic,
,,Kalea,support,43.6,0.12,0.5,mythic,
,,Lancelot,assassin,43.51,0.53,0.71,mythic,
,,Valentina,mage,43.43,0.09,0.12,mythic,
,,Franco,tank,43.28,1.18,7.51,mythic,
,,Fanny,assassin,41.96,0.55,2.29,mythic,
,,Granger,marksman,41.07,1.31,2.71,mythic,
