patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.73,0.17,10.97,mythic,
,,Rafaela,support,57.94,0.77,9.26,mythic,
,,Gloo,tank,56.85,0.63,50.29,mythic,
,,Lolita,support,55.83,0.09,0.35,mythic,
,,Hanzo,assassin,55.69,0.78,23.85,mythic,
,,Sun,fighter,55.37,1.67,52.44,mythic,
,,Argus,fighter,55.23,0.4,0.94,mythic,
,,Masha,fighter,55.17,0.06,0.17,mythic,
,,Minotaur,tank,54.86,0.52,4.03,mythic,
,,Atlas,tank,54.61,0.83,14.44,mythic,
,,Belerick,tank,54.55,1.51,60.55,mythic,
,,Hanabi,marksman,54.22,4.07,16.08,mythic,
,,Estes,support,54.16,0.64,55.28,mythic,
,,Khufra,tank,54.14,0.15,0.44,mythic,
,,Floryn,support,53.78,0.75,18.5,mythic,
,,Miya,marksman,53.61,3.58,17.8,mythic,
,,Popol and Kupa,marksman,53.35,0.35,0.35,mythic,
,,Ling,assassin,53.19,0.6,1.7,mythic,
,,Valir,mage,53.13,1.07,3.51,mythic,
,,Carmilla,support,52.96,0.59,1.84,mythic,
,,Khaleed,fighter,52.73,0.13,0.19,mythic,
,,Zhask,mage,52.65,0.46,0.81,mythic,
,,Melissa,marksman,52.61,1.15,7.11,mythic,
,,Gord,mage,52.35,0.98,2.41,mythic,
,,Silvanna,fighter,52.32,1.54,4.32,mythic,
,,Benedetta,assassin,52.32,0.35,0.63,mythic,
,,Natalia,assassin,52.27,0.42,4.07,mythic,
,,Hilda,fighter,52.26,0.86,5.53,mythic,
,,Zetian,mage,52.23,1.27,11.04,mythic,
,,Barats,tank,52.18,0.53,1.97,mythic,
,,Minsitthar,fighter,52.08,0.77,18.06,mythic,
,,Eudora,mage,51.85,1.91,55.06,mythic,
,,Irithel,marksman,51.78,0.44,0.68,mythic,
,,Bane,fighter,51.76,0.37,0.23,mythic,
,,Vale,mage,51.61,0.77,0.48,mythic,
,,Kagura,mage,51.58,0.4,1.07,mythic,
,,Terizla,fighter,51.41,0.42,0.43,mythic,
,,Cyclops,mage,51.39,0.76,0.39,mythic,
,,Yve,mage,51.39,0.03,0.07,mythic,
,,Akai,tank,51.28,0.52,8.81,mythic,
,,Diggie,support,51.22,0.16,3.56,mythic,
,,Uranus,tank,51.21,0.41,0.96,mythic,
,,Aulus,fighter,51.2,0.22,0.39,mythic,
,,Edith,tank,51.15,0.23,0.14,mythic,
,,Aamon,assassin,51.08,0.93,6.64,mythic,
,,X.Borg,fighter,50.92,0.75,5.59,mythic,
,,Lukas,fighter,50.91,0.34,1.0,mythic,
,,Alice,tank,50.86,0.53,4.93,mythic,
,,Aldous,fighter,50.83,0.55,0.79,mythic,
,,Yi Sun-shin,assassin,50.82,1.3,12.78,mythic,
,,Vexana,mage,50.78,2.13,2.71,mythic,
,,Kadita,mage,50.73,0.77,6.66,mythic,
,,Saber,assassin,50.67,1.2,44.8,mythic,
,,Julian,assassin,50.66,1.09,3.01,mythic,
,,Badang,fighter,50.63,0.92,0.94,mythic,
,,Leomord,fighter,50.5,0.33,2.12,mythic,
,,Johnson,tank,50.43,0.99,3.36,mythic,
,,Paquito,fighter,50.4,1.47,54.9,mythic,
,,Guinevere,fighter,50.22,1.02,11.72,mythic,
,,Fredrinn,fighter,50.12,0.44,3.27,mythic,
,,Roger,fighter,50.03,0.35,0.15,mythic,
,,Thamuz,fighter,49.93,1.06,3.37,mythic,
,,Alucard,fighter,49.68,0.57,0.58,mythic,
,,Angela,support,49.68,1.5,13.81,mythic,
,,Lylia,mage,49.61,0.47,0.98,mythic,
,,Odette,mage,49.57,0.6,0.42,mythic,
,,Natan,marksman,49.5,0.25,0.21,mythic,
,,Faramis,support,49.45,0.05,0.36,mythic,
,,Ruby,fighter,49.31,0.34,1.06,mythic,
,,Aurora,mage,49.26,0.62,0.62,mythic,
,,Cecilion,mage,49.25,0.56,0.26,mythic,
,,Lunox,mage,49.21,0.15,0.25,mythic,
,,Yin,fighter,49.15,0.75,3.2,mythic,
,,Hirara,assassin,49.12,0.48,35.12,mythic,
,,Suyou,assassin,49.11,0.75,2.02,mythic,
,,Sora,fighter,49.09,0.5,7.83,mythic,
,,Dyrroth,fighter,49.04,1.96,2.28,mythic,
,,Chang'e,mage,49.01,0.92,0.84,mythic,
,,Novaria,mage,48.93,1.52,8.06,mythic,
,,Obsidia,marksman,48.9,0.49,1.28,mythic,
,,Brody,marksman,48.87,0.54,1.39,mythic,
,,Lapu-Lapu,fighter,48.85,0.34,1.76,mythic,
,,Gusion,assassin,48.67,1.64,7.64,mythic,
,,Jawhead,fighter,48.65,0.53,0.67,mythic,
,,Esmeralda,tank,48.62,0.82,3.21,mythic,
,,Ixia,marksman,48.58,0.85,2.09,mythic,
,,Clint,marksman,48.58,0.55,0.75,mythic,
,,Hylos,tank,48.55,0.36,1.23,mythic,
,,Helcurt,assassin,48.54,0.93,25.59,mythic,
,,Yu Zhong,fighter,48.52,0.6,2.62,mythic,
,,Phoveus,fighter,48.44,0.27,0.9,mythic,
,,Beatrix,marksman,48.27,0.6,0.84,mythic,
,,Balmond,fighter,48.27,1.17,1.11,mythic,
,,Moskov,marksman,48.24,0.81,0.44,mythic,
,,Selena,assassin,48.2,1.19,6.61,mythic,
,,Cici,fighter,48.18,0.32,2.57,mythic,
,,Claude,marksman,48.06,0.71,0.6,mythic,
,,Layla,marksman,48.03,1.5,1.62,mythic,
,,Martis,fighter,47.74,0.63,1.05,mythic,
,,Nana,mage,47.67,1.92,6.06,mythic,
,,Zilong,fighter,47.66,1.02,0.66,mythic,
,,Kaja,support,47.54,0.5,33.85,mythic,
,,Hayabusa,assassin,47.52,0.7,3.5,mythic,
,,Harley,assassin,47.44,1.3,19.72,mythic,
,,Xavier,mage,47.39,0.62,0.28,mythic,
,,Karrie,marksman,47.15,0.56,1.93,mythic,
,,Grock,tank,47.08,0.42,1.53,mythic,
,,Luo Yi,mage,47.08,0.15,0.11,mythic,
,,Nolan,assassin,47.05,0.4,1.07,mythic,
,,Pharsa,mage,46.92,0.46,0.41,mythic,
,,Arlott,fighter,46.91,0.32,0.54,mythic,
,,Lesley,marksman,46.78,2.02,20.06,mythic,
,,Kimmy,marksman,46.71,0.58,0.58,mythic,
,,Baxia,tank,46.66,0.07,0.22,mythic,
,,Freya,fighter,46.66,0.62,2.74,mythic,
,,Bruno,marksman,46.43,0.13,0.12,mythic,
,,Wanwan,marksman,46.25,0.14,0.27,mythic,
,,Alpha,fighter,46.14,1.16,0.66,mythic,
,,Zhuxin,mage,46.13,0.08,0.63,mythic,
,,Tigreal,tank,46.11,2.49,12.67,mythic,
,,Joy,assassin,46.09,0.11,0.38,mythic,
,,Chou,fighter,45.84,1.17,4.42,mythic,
,,Karina,assassin,45.77,0.65,2.71,mythic,
,,Gatotkaca,tank,45.75,0.81,0.71,mythic,
,,Harith,mage,44.66,0.13,0.15,mythic,
,,Mathilda,support,44.57,0.11,0.22,mythic,
,,Chip,support,44.52,0.04,0.59,mythic,
,,Kalea,support,43.55,0.12,0.48,mythic,
,,Lancelot,assassin,43.49,0.6,0.96,mythic,
,,Franco,tank,43.17,1.32,6.81,mythic,
,,Valentina,mage,42.14,0.07,0.11,mythic,
,,Fanny,assassin,41.53,0.58,2.77,mythic,
,,Granger,marksman,40.09,1.3,3.2,mythic,
