patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.73,0.15,7.9,mythic,
,,Rafaela,support,58.54,0.86,9.98,mythic,
,,Gloo,tank,56.81,0.56,48.85,mythic,
,,Argus,fighter,56.57,0.53,1.37,mythic,
,,Estes,support,55.28,0.66,58.68,mythic,
,,Masha,fighter,55.22,0.06,0.2,mythic,
,,Minotaur,tank,55.14,0.48,4.4,mythic,
,,Sun,fighter,54.94,1.74,47.12,mythic,
,,Belerick,tank,54.77,1.51,58.12,mythic,
,,Hanabi,marksman,54.46,4.18,17.97,mythic,
,,Lolita,support,54.43,0.08,0.37,mythic,
,,Floryn,support,54.27,0.86,18.4,mythic,
,,Miya,marksman,53.4,3.83,21.23,mythic,
,,Khufra,tank,53.37,0.13,0.4,mythic,
,,Atlas,tank,53.24,0.69,12.46,mythic,
,,Popol and Kupa,marksman,53.18,0.34,0.39,mythic,
,,Carmilla,support,53.16,0.56,1.64,mythic,
,,Barats,tank,53.1,0.57,3.12,mythic,
,,Benedetta,assassin,52.89,0.31,0.64,mythic,
,,Valir,mage,52.82,1.04,3.54,mythic,
,,Zhask,mage,52.8,0.44,0.95,mythic,
,,Hilda,fighter,52.79,0.82,9.52,mythic,
,,Ling,assassin,52.65,0.51,1.28,mythic,
,,Silvanna,fighter,52.58,1.57,4.98,mythic,
,,Khaleed,fighter,52.54,0.11,0.2,mythic,
,,Natalia,assassin,52.11,0.41,4.21,mythic,
,,Gord,mage,52.09,0.87,2.01,mythic,
,,Diggie,support,52.01,0.15,3.2,mythic,
,,Eudora,mage,51.92,1.83,57.43,mythic,
,,Kagura,mage,51.85,0.46,1.17,mythic,
,,Edith,tank,51.73,0.24,0.16,mythic,
,,Melissa,marksman,51.73,1.16,9.01,mythic,
,,Cyclops,mage,51.63,0.76,0.47,mythic,
,,Zetian,mage,51.57,1.2,10.01,mythic,
,,Bane,fighter,51.54,0.35,0.28,mythic,
,,Terizla,fighter,51.53,0.39,0.47,mythic,
,,Lukas,fighter,51.46,0.34,1.44,mythic,
,,Vale,mage,51.46,0.8,0.53,mythic,
,,Minsitthar,fighter,51.4,0.75,13.21,mythic,
,,Aamon,assassin,51.4,0.91,7.05,mythic,
,,Akai,tank,51.31,0.45,5.76,mythic,
,,Yi Sun-shin,assassin,51.3,1.19,10.94,mythic,
,,Irithel,marksman,51.27,0.39,0.66,mythic,
,,Fredrinn,fighter,51.01,0.38,3.34,mythic,
,,Hanzo,assassin,51.01,0.68,28.36,mythic,
,,Roger,fighter,50.94,0.33,0.17,mythic,
,,Obsidia,marksman,50.93,0.68,2.55,mythic,
,,Badang,fighter,50.92,0.87,0.86,mythic,
,,Johnson,tank,50.9,1.0,3.79,mythic,
,,Vexana,mage,50.87,2.21,3.23,mythic,
,,X.Borg,fighter,50.85,0.7,5.48,mythic,
,,Yve,mage,50.83,0.03,0.09,mythic,
,,Thamuz,fighter,50.65,1.22,4.61,mythic,
,,Julian,assassin,50.6,1.13,3.21,mythic,
,,Paquito,fighter,50.58,1.48,47.39,mythic,
,,Guinevere,fighter,50.57,0.96,8.24,mythic,
,,Saber,assassin,50.46,1.26,46.78,mythic,
,,Aldous,fighter,50.24,0.52,0.86,mythic,
,,Aulus,fighter,50.22,0.19,0.41,mythic,
,,Uranus,tank,50.15,0.37,0.99,mythic,
,,Kadita,mage,50.13,0.78,6.58,mythic,
,,Alice,tank,50.08,0.53,6.34,mythic,
,,Suyou,assassin,50.07,0.68,2.03,mythic,
,,Odette,mage,49.98,0.61,0.53,mythic,
,,Leomord,fighter,49.97,0.27,1.91,mythic,
,,Lylia,mage,49.78,0.49,1.02,mythic,
,,Hirara,assassin,49.75,0.5,32.7,mythic,
,,Natan,marksman,49.71,0.22,0.23,mythic,
,,Angela,support,49.56,1.57,14.59,mythic,
,,Alucard,fighter,49.48,0.66,0.65,mythic,
,,Lapu-Lapu,fighter,49.42,0.35,1.57,mythic,
,,Yin,fighter,49.4,0.8,3.83,mythic,
,,Chang'e,mage,49.34,0.97,0.96,mythic,
,,Sora,fighter,49.28,0.44,6.29,mythic,
,,Aurora,mage,49.24,0.62,0.73,mythic,
,,Novaria,mage,49.24,1.47,10.08,mythic,
,,Faramis,support,49.21,0.04,0.38,mythic,
,,Beatrix,marksman,49.15,0.5,0.78,mythic,
,,Cecilion,mage,49.09,0.56,0.29,mythic,
,,Dyrroth,fighter,49.06,2.21,2.81,mythic,
,,Ruby,fighter,49.05,0.31,0.95,mythic,
,,Ixia,marksman,48.98,0.85,2.43,mythic,
,,Esmeralda,tank,48.97,0.77,3.04,mythic,
,,Hylos,tank,48.77,0.34,1.01,mythic,
,,Yu Zhong,fighter,48.61,0.58,2.6,mythic,
,,Lunox,mage,48.6,0.14,0.3,mythic,
,,Selena,assassin,48.43,1.19,7.26,mythic,
,,Brody,marksman,48.36,0.47,1.37,mythic,
,,Nana,mage,48.29,2.16,7.02,mythic,
,,Hayabusa,assassin,48.29,0.82,5.67,mythic,
,,Helcurt,assassin,48.25,0.98,21.34,mythic,
,,Layla,marksman,48.2,1.67,2.09,mythic,
,,Gusion,assassin,47.91,1.81,8.0,mythic,
,,Phoveus,fighter,47.9,0.25,1.33,mythic,
,,Xavier,mage,47.87,0.54,0.28,mythic,
,,Luo Yi,mage,47.82,0.16,0.14,mythic,
,,Martis,fighter,47.72,0.61,0.94,mythic,
,,Jawhead,fighter,47.63,0.53,0.83,mythic,
,,Moskov,marksman,47.61,0.78,0.51,mythic,
,,Claude,marksman,47.56,0.65,0.57,mythic,
,,Balmond,fighter,47.56,1.07,1.04,mythic,
,,Clint,marksman,47.53,0.49,0.78,mythic,
,,Harley,assassin,47.45,1.22,17.99,mythic,
,,Zilong,fighter,47.44,1.18,0.91,mythic,
,,Cici,fighter,47.38,0.28,2.16,mythic,
,,Nolan,assassin,47.27,0.38,1.47,mythic,
,,Freya,fighter,47.21,0.63,3.63,mythic,
,,Kaja,support,47.2,0.37,23.39,mythic,
,,Karina,assassin,47.15,0.7,3.24,mythic,
,,Pharsa,mage,47.04,0.47,0.47,mythic,
,,Kimmy,marksman,46.98,0.59,0.65,mythic,
,,Arlott,fighter,46.96,0.29,0.54,mythic,
,,Baxia,tank,46.94,0.06,0.22,mythic,
,,Grock,tank,46.87,0.39,1.48,mythic,
,,Alpha,fighter,46.56,1.26,0.83,mythic,
,,Lesley,marksman,46.39,1.94,20.52,mythic,
,,Chip,support,46.27,0.03,0.55,mythic,
,,Zhuxin,mage,46.2,0.07,0.47,mythic,
,,Tigreal,tank,46.1,2.47,13.23,mythic,
,,Karrie,marksman,45.93,0.52,1.63,mythic,
,,Joy,assassin,45.84,0.09,0.35,mythic,
,,Gatotkaca,tank,45.67,0.83,0.77,mythic,
,,Chou,fighter,45.35,1.18,4.86,mythic,
,,Kalea,support,45.32,0.12,0.45,mythic,
,,Wanwan,marksman,45.25,0.11,0.27,mythic,
,,Bruno,marksman,45.15,0.12,0.13,mythic,
,,Mathilda,support,43.82,0.1,0.23,mythic,
,,Harith,mage,43.65,0.11,0.14,mythic,
,,Lancelot,assassin,43.5,0.59,1.04,mythic,
,,Franco,tank,42.97,1.27,6.33,mythic,
,,Valentina,mage,40.93,0.06,0.12,mythic,
,,Fanny,assassin,40.73,0.59,2.69,mythic,
,,Granger,marksman,39.71,1.27,3.34,mythic,
