patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Rafaela,support,58.1,0.8,9.22,mythic,
,,Marcel,support,58.07,0.18,12.76,mythic,
,,Gloo,tank,57.38,0.54,54.68,mythic,
,,Masha,fighter,56.36,0.06,0.19,mythic,
,,Lolita,support,55.88,0.09,0.36,mythic,
,,Argus,fighter,55.61,0.36,0.84,mythic,
,,Minotaur,tank,54.87,0.55,3.97,mythic,
,,Sun,fighter,54.61,1.7,52.12,mythic,
,,Floryn,support,54.56,0.88,22.17,mythic,
,,Atlas,tank,54.52,0.9,15.47,mythic,
,,Belerick,tank,54.3,1.45,62.14,mythic,
,,Hanzo,assassin,54.11,0.5,6.56,mythic,
,,Hanabi,marksman,53.9,3.95,14.31,mythic,
,,Ling,assassin,53.65,0.71,2.49,mythic,
,,Khufra,tank,53.63,0.18,0.53,mythic,
,,Miya,marksman,53.55,3.59,16.24,mythic,
,,Carmilla,support,53.5,0.61,1.81,mythic,
,,Estes,support,53.4,0.63,55.23,mythic,
,,Popol and Kupa,marksman,53.05,0.36,0.35,mythic,
,,Valir,mage,52.85,1.04,3.26,mythic,
,,Diggie,support,52.73,0.17,4.67,mythic,
,,Gord,mage,52.6,1.09,3.02,mythic,
,,Silvanna,fighter,52.6,1.49,3.9,mythic,
,,Minsitthar,fighter,52.51,0.79,19.09,mythic,
,,Melissa,marksman,52.49,1.07,5.09,mythic,
,,Benedetta,assassin,52.49,0.41,0.75,mythic,
,,Zhask,mage,52.36,0.44,0.74,mythic,
,,Barats,tank,52.03,0.35,1.13,mythic,
,,Zetian,mage,52.02,1.43,14.6,mythic,
,,Kagura,mage,52.0,0.5,1.07,mythic,
,,Hilda,fighter,51.93,0.81,6.69,mythic,
,,Natalia,assassin,51.9,0.4,3.84,mythic,
,,Irithel,marksman,51.85,0.45,0.65,mythic,
,,Eudora,mage,51.79,2.03,45.88,mythic,
,,Cyclops,mage,51.75,0.77,0.37,mythic,
,,Terizla,fighter,51.72,0.4,0.38,mythic,
,,Bane,fighter,51.48,0.38,0.22,mythic,
,,Khaleed,fighter,51.45,0.15,0.23,mythic,
,,Akai,tank,51.45,0.55,11.12,mythic,
,,Lukas,fighter,51.35,0.35,0.93,mythic,
,,Edith,tank,51.33,0.22,0.14,mythic,
,,Yi Sun-shin,assassin,51.32,1.44,12.39,mythic,
,,Kadita,mage,51.27,0.78,6.68,mythic,
,,Aamon,assassin,51.14,0.93,5.93,mythic,
,,Aulus,fighter,51.06,0.24,0.46,mythic,
,,Vale,mage,51.04,0.73,0.39,mythic,
,,Guinevere,fighter,50.89,1.14,13.97,mythic,
,,Leomord,fighter,50.84,0.39,2.39,mythic,
,,Badang,fighter,50.8,0.94,1.02,mythic,
,,Paquito,fighter,50.75,1.51,58.28,mythic,
,,Yve,mage,50.67,0.04,0.06,mythic,
,,Thamuz,fighter,50.66,1.14,3.49,mythic,
,,Alice,tank,50.52,0.59,5.5,mythic,
,,Fredrinn,fighter,50.47,0.49,3.74,mythic,
,,Vexana,mage,50.45,2.04,2.37,mythic,
,,Julian,assassin,50.43,1.11,2.63,mythic,
,,Faramis,support,50.43,0.05,0.36,mythic,
,,X.Borg,fighter,50.36,0.7,4.79,mythic,
,,Uranus,tank,50.27,0.36,0.83,mythic,
,,Roger,fighter,50.1,0.37,0.17,mythic,
,,Aldous,fighter,50.0,0.52,0.66,mythic,
,,Saber,assassin,49.94,1.09,42.56,mythic,
,,Natan,marksman,49.94,0.25,0.19,mythic,
,,Johnson,tank,49.93,0.93,3.07,mythic,
,,Lylia,mage,49.8,0.49,0.92,mythic,
,,Sora,fighter,49.77,0.54,8.76,mythic,
,,Hirara,assassin,49.75,0.43,36.05,mythic,
,,Suyou,assassin,49.7,0.82,2.57,mythic,
,,Alucard,fighter,49.68,0.59,0.57,mythic,
,,Ruby,fighter,49.65,0.39,0.98,mythic,
,,Odette,mage,49.58,0.57,0.39,mythic,
,,Lapu-Lapu,fighter,49.55,0.44,1.63,mythic,
