patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.97,0.16,9.96,mythic,
,,Rafaela,support,57.78,0.79,10.08,mythic,
,,Gloo,tank,57.28,0.6,49.38,mythic,
,,Masha,fighter,55.88,0.06,0.17,mythic,
,,Argus,fighter,55.79,0.41,1.01,mythic,
,,Lolita,support,55.36,0.09,0.36,mythic,
,,Sun,fighter,55.2,1.77,50.35,mythic,
,,Minotaur,tank,55.2,0.52,4.13,mythic,
,,Belerick,tank,54.55,1.51,58.64,mythic,
,,Estes,support,54.54,0.64,56.79,mythic,
,,Khufra,tank,54.27,0.15,0.46,mythic,
,,Floryn,support,54.09,0.77,19.28,mythic,
,,Hanabi,marksman,53.99,4.14,17.15,mythic,
,,Miya,marksman,53.55,3.68,20.18,mythic,
,,Popol and Kupa,marksman,53.43,0.37,0.37,mythic,
,,Valir,mage,53.08,1.05,3.39,mythic,
,,Ling,assassin,53.02,0.56,1.61,mythic,
,,Carmilla,support,52.89,0.57,1.78,mythic,
,,Benedetta,assassin,52.79,0.35,0.66,mythic,
,,Atlas,tank,52.76,0.77,13.61,mythic,
,,Silvanna,fighter,52.67,1.61,4.71,mythic,
,,Zhask,mage,52.51,0.46,0.88,mythic,
,,Melissa,marksman,52.47,1.15,7.63,mythic,
,,Hilda,fighter,52.45,0.81,5.44,mythic,
,,Khaleed,fighter,52.37,0.12,0.17,mythic,
,,Gord,mage,52.36,0.96,2.29,mythic,
,,Barats,tank,52.25,0.51,2.17,mythic,
,,Natalia,assassin,52.11,0.43,4.27,mythic,
,,Minsitthar,fighter,51.89,0.79,17.26,mythic,
,,Diggie,support,51.89,0.16,3.58,mythic,
,,Irithel,marksman,51.88,0.42,0.65,mythic,
,,Cyclops,mage,51.87,0.77,0.41,mythic,
,,Zetian,mage,51.85,1.23,11.01,mythic,
,,Eudora,mage,51.74,1.89,55.86,mythic,
,,Kagura,mage,51.72,0.42,1.14,mythic,
,,Terizla,fighter,51.63,0.43,0.44,mythic,
,,Akai,tank,51.61,0.48,7.81,mythic,
,,Bane,fighter,51.6,0.39,0.26,mythic,
,,Vale,mage,51.54,0.8,0.5,mythic,
,,Edith,tank,51.5,0.23,0.14,mythic,
,,Lukas,fighter,51.34,0.33,0.95,mythic,
,,Uranus,tank,51.34,0.36,0.9,mythic,
,,Yi Sun-shin,assassin,51.16,1.2,11.45,mythic,
,,Badang,fighter,50.97,0.92,0.95,mythic,
,,Aamon,assassin,50.92,0.96,6.57,mythic,
,,Roger,fighter,50.9,0.35,0.16,mythic,
,,X.Borg,fighter,50.89,0.74,5.76,mythic,
,,Leomord,fighter,50.8,0.3,1.88,mythic,
,,Vexana,mage,50.78,2.14,2.86,mythic,
,,Hanzo,assassin,50.73,0.68,28.24,mythic,
,,Kadita,mage,50.63,0.82,6.86,mythic,
,,Paquito,fighter,50.63,1.48,51.97,mythic,
,,Obsidia,marksman,50.58,0.56,1.67,mythic,
,,Saber,assassin,50.57,1.25,46.14,mythic,
,,Aulus,fighter,50.54,0.22,0.4,mythic,
,,Johnson,tank,50.51,1.0,3.67,mythic,
,,Guinevere,fighter,50.5,0.99,9.66,mythic,
,,Julian,assassin,50.47,1.2,3.36,mythic,
,,Alice,tank,50.4,0.5,4.6,mythic,
,,Fredrinn,fighter,50.35,0.42,3.11,mythic,
,,Thamuz,fighter,50.29,1.11,3.74,mythic,
,,Aldous,fighter,50.04,0.57,0.84,mythic,
,,Suyou,assassin,49.86,0.72,1.88,mythic,
,,Hirara,assassin,49.85,0.46,34.1,mythic,
,,Lylia,mage,49.76,0.44,0.99,mythic,
,,Natan,marksman,49.73,0.24,0.2,mythic,
,,Odette,mage,49.64,0.6,0.44,mythic,
,,Novaria,mage,49.36,1.53,9.15,mythic,
,,Alucard,fighter,49.32,0.61,0.65,mythic,
,,Ruby,fighter,49.3,0.32,1.0,mythic,
,,Faramis,support,49.21,0.04,0.33,mythic,
,,Yin,fighter,49.2,0.78,3.52,mythic,
,,Chang'e,mage,49.19,0.95,0.89,mythic,
,,Hylos,tank,49.15,0.34,1.23,mythic,
,,Angela,support,49.1,1.53,14.46,mythic,
,,Sora,fighter,49.01,0.46,7.01,mythic,
,,Yu Zhong,fighter,49.0,0.6,2.74,mythic,
,,Lapu-Lapu,fighter,48.94,0.37,1.85,mythic,
,,Aurora,mage,48.93,0.63,0.68,mythic,
,,Cecilion,mage,48.93,0.56,0.26,mythic,
,,Dyrroth,fighter,48.87,1.97,2.44,mythic,
,,Esmeralda,tank,48.86,0.78,3.03,mythic,
,,Helcurt,assassin,48.71,0.96,24.25,mythic,
,,Beatrix,marksman,48.67,0.53,0.77,mythic,
,,Gusion,assassin,48.66,1.7,8.1,mythic,
,,Brody,marksman,48.54,0.51,1.32,mythic,
,,Yve,mage,48.52,0.03,0.08,mythic,
,,Ixia,marksman,48.37,0.87,2.3,mythic,
,,Jawhead,fighter,48.28,0.54,0.7,mythic,
,,Selena,assassin,48.27,1.24,7.05,mythic,
,,Hayabusa,assassin,48.27,0.76,3.94,mythic,
,,Moskov,marksman,48.26,0.79,0.44,mythic,
,,Clint,marksman,48.19,0.54,0.78,mythic,
,,Lunox,mage,48.11,0.15,0.26,mythic,
,,Phoveus,fighter,48.02,0.25,0.86,mythic,
,,Harley,assassin,47.99,1.29,18.75,mythic,
,,Martis,fighter,47.98,0.63,1.11,mythic,
,,Balmond,fighter,47.97,1.13,1.05,mythic,
,,Layla,marksman,47.91,1.59,1.75,mythic,
,,Luo Yi,mage,47.8,0.15,0.11,mythic,
,,Xavier,mage,47.77,0.59,0.27,mythic,
,,Kaja,support,47.75,0.46,31.27,mythic,
,,Nana,mage,47.67,1.98,6.73,mythic,
,,Grock,tank,47.57,0.41,1.51,mythic,
,,Claude,marksman,47.45,0.64,0.53,mythic,
,,Arlott,fighter,47.22,0.31,0.53,mythic,
,,Freya,fighter,47.19,0.62,2.6,mythic,
,,Nolan,assassin,47.18,0.37,1.04,mythic,
,,Bruno,marksman,47.16,0.13,0.12,mythic,
,,Cici,fighter,47.12,0.3,2.56,mythic,
,,Zilong,fighter,46.98,1.06,0.66,mythic,
,,Wanwan,marksman,46.82,0.13,0.28,mythic,
,,Kimmy,marksman,46.8,0.56,0.6,mythic,
,,Lesley,marksman,46.74,2.04,20.78,mythic,
,,Zhuxin,mage,46.73,0.07,0.57,mythic,
,,Karrie,marksman,46.69,0.53,1.63,mythic,
,,Baxia,tank,46.66,0.07,0.2,mythic,
,,Pharsa,mage,46.64,0.45,0.43,mythic,
,,Tigreal,tank,46.43,2.44,13.55,mythic,
,,Karina,assassin,46.28,0.71,3.06,mythic,
,,Alpha,fighter,46.21,1.21,0.74,mythic,
,,Chip,support,45.83,0.04,0.56,mythic,
,,Chou,fighter,45.78,1.24,5.44,mythic,
,,Joy,assassin,45.56,0.11,0.37,mythic,
,,Gatotkaca,tank,45.39,0.8,0.76,mythic,
,,Harith,mage,44.65,0.12,0.14,mythic,
,,Mathilda,support,44.45,0.1,0.21,mythic,
,,Kalea,support,43.85,0.12,0.47,mythic,
,,Lancelot,assassin,43.74,0.55,0.9,mythic,
,,Franco,tank,43.1,1.31,7.23,mythic,
,,Fanny,assassin,42.02,0.54,2.49,mythic,
,,Valentina,mage,41.21,0.07,0.1,mythic,
,,Granger,marksman,40.2,1.25,3.1,mythic,
