patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.64,0.16,9.45,mythic,
,,Rafaela,support,58.06,0.8,10.2,mythic,
,,Gloo,tank,57.22,0.57,48.59,mythic,
,,Lolita,support,55.79,0.09,0.37,mythic,
,,Argus,fighter,55.69,0.54,1.22,mythic,
,,Minotaur,tank,55.38,0.51,4.49,mythic,
,,Sun,fighter,54.99,1.8,48.89,mythic,
,,Masha,fighter,54.8,0.06,0.17,mythic,
,,Estes,support,54.74,0.65,58.88,mythic,
,,Belerick,tank,54.52,1.54,58.47,mythic,
,,Hanabi,marksman,54.13,4.26,18.05,mythic,
,,Popol and Kupa,marksman,53.97,0.37,0.38,mythic,
,,Khufra,tank,53.75,0.14,0.42,mythic,
,,Floryn,support,53.74,0.76,18.62,mythic,
,,Atlas,tank,53.55,0.72,12.96,mythic,
,,Ling,assassin,53.41,0.48,1.32,mythic,
,,Khaleed,fighter,53.33,0.11,0.16,mythic,
,,Carmilla,support,53.24,0.56,1.76,mythic,
,,Valir,mage,53.16,1.09,3.46,mythic,
,,Benedetta,assassin,53.14,0.32,0.66,mythic,
,,Natalia,assassin,53.1,0.43,4.31,mythic,
,,Miya,marksman,53.01,3.83,20.9,mythic,
,,Zhask,mage,52.82,0.47,0.91,mythic,
,,Hilda,fighter,52.58,0.84,6.78,mythic,
,,Barats,tank,52.57,0.52,2.28,mythic,
,,Silvanna,fighter,52.41,1.66,4.8,mythic,
,,Gord,mage,52.32,0.94,2.14,mythic,
,,Melissa,marksman,52.04,1.17,8.85,mythic,
,,Zetian,mage,51.97,1.22,10.79,mythic,
,,Eudora,mage,51.96,1.86,58.07,mythic,
,,Cyclops,mage,51.89,0.78,0.46,mythic,
,,Diggie,support,51.86,0.16,3.2,mythic,
,,Bane,fighter,51.78,0.38,0.27,mythic,
,,Minsitthar,fighter,51.65,0.79,14.93,mythic,
,,Akai,tank,51.38,0.46,6.42,mythic,
,,Yi Sun-shin,assassin,51.36,1.15,10.9,mythic,
,,Edith,tank,51.31,0.24,0.15,mythic,
,,Lukas,fighter,51.29,0.33,1.23,mythic,
