patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.06,0.17,10.87,mythic,
,,Rafaela,support,57.68,0.8,9.65,mythic,
,,Gloo,tank,56.46,0.58,51.64,mythic,
,,Masha,fighter,56.28,0.06,0.18,mythic,
,,Argus,fighter,55.56,0.35,0.9,mythic,
,,Hanzo,assassin,55.26,0.81,16.55,mythic,
,,Minotaur,tank,55.19,0.53,4.01,mythic,
,,Sun,fighter,54.76,1.74,51.21,mythic,
,,Lolita,support,54.73,0.09,0.37,mythic,
,,Floryn,support,54.67,0.86,21.54,mythic,
,,Atlas,tank,54.44,0.82,14.52,mythic,
,,Belerick,tank,54.33,1.47,60.26,mythic,
,,Estes,support,54.3,0.65,56.79,mythic,
,,Hanabi,marksman,54.03,4.13,16.14,mythic,
,,Miya,marksman,53.63,3.69,18.94,mythic,
,,Khufra,tank,53.57,0.16,0.49,mythic,
,,Ling,assassin,53.42,0.61,2.13,mythic,
,,Popol and Kupa,marksman,53.29,0.37,0.35,mythic,
,,Valir,mage,53.17,1.07,3.4,mythic,
,,Benedetta,assassin,52.92,0.36,0.71,mythic,
,,Carmilla,support,52.81,0.58,1.76,mythic,
,,Gord,mage,52.7,1.02,2.62,mythic,
,,Silvanna,fighter,52.53,1.56,4.48,mythic,
,,Zhask,mage,52.5,0.46,0.82,mythic,
,,Minsitthar,fighter,52.4,0.78,17.76,mythic,
,,Melissa,marksman,52.19,1.08,6.12,mythic,
,,Diggie,support,52.11,0.17,4.24,mythic,
,,Hilda,fighter,52.05,0.82,6.27,mythic,
,,Natalia,assassin,52.03,0.42,4.21,mythic,
,,Khaleed,fighter,51.99,0.12,0.2,mythic,
,,Barats,tank,51.96,0.49,1.7,mythic,
,,Eudora,mage,51.94,1.97,51.57,mythic,
,,Kagura,mage,51.79,0.47,1.11,mythic,
,,Zetian,mage,51.75,1.34,13.05,mythic,
,,Irithel,marksman,51.71,0.43,0.65,mythic,
,,Bane,fighter,51.66,0.39,0.24,mythic,
,,Cyclops,mage,51.62,0.79,0.41,mythic,
,,Terizla,fighter,51.33,0.39,0.41,mythic,
,,Yi Sun-shin,assassin,51.09,1.3,12.02,mythic,
,,Aamon,assassin,51.07,0.95,6.46,mythic,
,,Edith,tank,51.02,0.22,0.14,mythic,
,,Kadita,mage,50.98,0.77,6.75,mythic,
,,Lukas,fighter,50.97,0.34,0.95,mythic,
,,Vale,mage,50.97,0.77,0.45,mythic,
,,Uranus,tank,50.78,0.37,0.89,mythic,
,,X.Borg,fighter,50.76,0.71,5.28,mythic,
,,Fredrinn,fighter,50.74,0.46,3.44,mythic,
,,Akai,tank,50.73,0.51,9.35,mythic,
,,Badang,fighter,50.69,0.93,1.0,mythic,
,,Aldous,fighter,50.67,0.54,0.77,mythic,
,,Aulus,fighter,50.58,0.23,0.43,mythic,
,,Vexana,mage,50.58,2.11,2.65,mythic,
,,Guinevere,fighter,50.49,1.07,11.24,mythic,
,,Roger,fighter,50.46,0.35,0.16,mythic,
,,Saber,assassin,50.38,1.16,44.7,mythic,
,,Thamuz,fighter,50.36,1.18,4.01,mythic,
,,Paquito,fighter,50.35,1.49,55.21,mythic,
,,Johnson,tank,50.29,0.96,3.31,mythic,
,,Hirara,assassin,50.23,0.4,33.25,mythic,
,,Julian,assassin,50.21,1.15,3.03,mythic,
,,Natan,marksman,50.05,0.24,0.2,mythic,
,,Alice,tank,50.0,0.56,5.22,mythic,
,,Leomord,fighter,49.92,0.33,2.24,mythic,
,,Lylia,mage,49.91,0.47,0.97,mythic,
,,Yve,mage,49.79,0.03,0.07,mythic,
,,Suyou,assassin,49.5,0.76,2.19,mythic,
,,Ruby,fighter,49.46,0.36,1.02,mythic,
,,Odette,mage,49.45,0.59,0.43,mythic,
,,Angela,support,49.43,1.61,14.59,mythic,
,,Lapu-Lapu,fighter,49.42,0.42,1.76,mythic,
,,Sora,fighter,49.39,0.48,7.68,mythic,
,,Alucard,fighter,49.39,0.62,0.6,mythic,
,,Cecilion,mage,49.33,0.58,0.27,mythic,
,,Obsidia,marksman,49.3,0.49,1.23,mythic,
,,Yu Zhong,fighter,49.24,0.66,2.71,mythic,
,,Dyrroth,fighter,49.12,1.84,2.27,mythic,
,,Chang'e,mage,49.01,0.93,0.84,mythic,
,,Lunox,mage,48.99,0.17,0.26,mythic,
,,Faramis,support,48.79,0.05,0.36,mythic,
,,Novaria,mage,48.75,1.39,6.56,mythic,
,,Beatrix,marksman,48.75,0.54,0.75,mythic,
,,Yin,fighter,48.73,0.71,3.07,mythic,
,,Hylos,tank,48.71,0.36,1.19,mythic,
,,Aurora,mage,48.7,0.56,0.53,mythic,
,,Moskov,marksman,48.65,0.82,0.4,mythic,
,,Ixia,marksman,48.59,0.89,2.43,mythic,
,,Gusion,assassin,48.53,1.7,7.88,mythic,
,,Phoveus,fighter,48.51,0.26,0.93,mythic,
,,Brody,marksman,48.5,0.51,1.27,mythic,
,,Esmeralda,tank,48.39,0.81,3.18,mythic,
,,Clint,marksman,48.39,0.55,0.75,mythic,
,,Jawhead,fighter,48.36,0.52,0.69,mythic,
,,Martis,fighter,48.16,0.61,1.06,mythic,
,,Balmond,fighter,48.12,1.13,1.16,mythic,
,,Grock,tank,48.1,0.41,1.57,mythic,
,,Helcurt,assassin,48.05,0.94,26.52,mythic,
,,Xavier,mage,48.01,0.52,0.22,mythic,
,,Chip,support,47.96,0.04,0.59,mythic,
,,Selena,assassin,47.88,1.2,6.8,mythic,
,,Nana,mage,47.85,1.92,6.03,mythic,
,,Cici,fighter,47.68,0.32,2.39,mythic,
,,Layla,marksman,47.65,1.49,1.63,mythic,
,,Hayabusa,assassin,47.65,0.71,3.24,mythic,
,,Arlott,fighter,47.61,0.33,0.6,mythic,
