patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.56,0.15,8.88,mythic,
,,Rafaela,support,58.36,0.94,11.07,mythic,
,,Argus,fighter,56.29,0.49,1.35,mythic,
,,Gloo,tank,56.13,0.51,49.28,mythic,
,,Minotaur,tank,55.94,0.52,4.93,mythic,
,,Lolita,support,55.62,0.09,0.36,mythic,
,,Estes,support,55.6,0.68,60.15,mythic,
,,Sun,fighter,55.28,1.74,45.55,mythic,
,,Masha,fighter,54.85,0.06,0.2,mythic,
,,Belerick,tank,54.51,1.52,58.04,mythic,
,,Hanabi,marksman,54.27,4.15,18.05,mythic,
,,Floryn,support,53.88,0.85,19.2,mythic,
,,Khufra,tank,53.82,0.13,0.42,mythic,
,,Miya,marksman,53.62,3.85,22.32,mythic,
,,Popol and Kupa,marksman,53.55,0.36,0.37,mythic,
,,Atlas,tank,53.46,0.69,12.77,mythic,
,,Benedetta,assassin,53.33,0.29,0.67,mythic,
,,Ling,assassin,53.19,0.49,1.19,mythic,
,,Carmilla,support,53.14,0.55,1.68,mythic,
,,Barats,tank,53.02,0.58,3.32,mythic,
,,Zhask,mage,52.98,0.46,0.98,mythic,
,,Hilda,fighter,52.94,0.83,10.83,mythic,
,,Khaleed,fighter,52.91,0.11,0.18,mythic,
,,Gord,mage,52.62,0.86,2.01,mythic,
,,Valir,mage,52.51,1.03,3.56,mythic,
,,Silvanna,fighter,52.5,1.63,5.03,mythic,
,,Diggie,support,52.24,0.15,3.06,mythic,
,,Natalia,assassin,52.23,0.44,4.31,mythic,
,,Kagura,mage,52.16,0.41,1.22,mythic,
,,Bane,fighter,52.11,0.35,0.27,mythic,
,,Melissa,marksman,52.07,1.2,9.85,mythic,
,,Terizla,fighter,51.92,0.38,0.44,mythic,
,,Eudora,mage,51.87,1.75,58.66,mythic,
,,Yi Sun-shin,assassin,51.86,1.09,10.36,mythic,
,,Cyclops,mage,51.67,0.75,0.48,mythic,
