patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,59.39,0.17,10.46,mythic,
,,Rafaela,support,57.8,0.8,10.1,mythic,
,,Gloo,tank,56.62,0.59,49.7,mythic,
,,Lolita,support,55.59,0.09,0.36,mythic,
,,Masha,fighter,55.59,0.06,0.16,mythic,
,,Hanzo,assassin,55.58,0.79,26.72,mythic,
,,Minotaur,tank,55.37,0.53,4.21,mythic,
,,Sun,fighter,55.21,1.75,50.77,mythic,
,,Argus,fighter,55.13,0.38,0.94,mythic,
,,Belerick,tank,54.3,1.53,58.82,mythic,
,,Hanabi,marksman,54.24,4.19,16.57,mythic,
,,Estes,support,54.21,0.65,56.59,mythic,
,,Atlas,tank,54.11,0.83,14.48,mythic,
,,Khufra,tank,54.1,0.15,0.45,mythic,
,,Floryn,support,53.51,0.76,19.39,mythic,
,,Miya,marksman,53.5,3.68,19.37,mythic,
,,Popol and Kupa,marksman,53.15,0.37,0.33,mythic,
,,Zhask,mage,53.11,0.47,0.85,mythic,
,,Carmilla,support,53.1,0.58,1.82,mythic,
,,Valir,mage,53.1,1.07,3.39,mythic,
,,Ling,assassin,52.83,0.57,1.64,mythic,
,,Silvanna,fighter,52.63,1.62,4.45,mythic,
,,Hilda,fighter,52.42,0.83,5.31,mythic,
,,Gord,mage,52.39,0.99,2.36,mythic,
,,Natalia,assassin,52.26,0.44,4.24,mythic,
,,Melissa,marksman,52.21,1.16,7.28,mythic,
,,Benedetta,assassin,52.19,0.33,0.67,mythic,
,,Cyclops,mage,52.04,0.77,0.4,mythic,
,,Bane,fighter,51.89,0.39,0.23,mythic,
,,Zetian,mage,51.81,1.25,11.3,mythic,
,,Khaleed,fighter,51.74,0.12,0.18,mythic,
,,Eudora,mage,51.74,1.89,55.3,mythic,
,,Minsitthar,fighter,51.72,0.79,17.24,mythic,
,,Vale,mage,51.64,0.8,0.5,mythic,
,,Barats,tank,51.59,0.51,1.96,mythic,
,,Irithel,marksman,51.58,0.43,0.63,mythic,
,,Lukas,fighter,51.28,0.32,0.93,mythic,
,,Kagura,mage,51.22,0.39,1.15,mythic,
,,Terizla,fighter,51.19,0.4,0.42,mythic,
,,Diggie,support,51.17,0.16,3.58,mythic,
,,X.Borg,fighter,51.16,0.75,5.73,mythic,
,,Edith,tank,51.07,0.23,0.13,mythic,
,,Aamon,assassin,51.04,0.97,6.74,mythic,
,,Yi Sun-shin,assassin,51.03,1.18,11.56,mythic,
,,Akai,tank,50.92,0.48,8.15,mythic,
,,Uranus,tank,50.89,0.39,0.88,mythic,
,,Badang,fighter,50.81,0.92,0.95,mythic,
,,Vexana,mage,50.77,2.16,2.81,mythic,
,,Paquito,fighter,50.75,1.47,53.35,mythic,
,,Kadita,mage,50.73,0.77,6.85,mythic,
,,Johnson,tank,50.6,0.99,3.71,mythic,
,,Alice,tank,50.59,0.52,4.71,mythic,
,,Julian,assassin,50.55,1.12,3.18,mythic,
,,Aulus,fighter,50.51,0.22,0.4,mythic,
,,Saber,assassin,50.48,1.25,45.59,mythic,
,,Aldous,fighter,50.44,0.55,0.77,mythic,
,,Roger,fighter,50.33,0.35,0.16,mythic,
,,Guinevere,fighter,50.21,0.99,10.23,mythic,
,,Leomord,fighter,50.21,0.3,1.88,mythic,
,,Lylia,mage,50.0,0.44,0.97,mythic,
,,Thamuz,fighter,49.87,1.09,3.64,mythic,
,,Natan,marksman,49.83,0.24,0.19,mythic,
,,Fredrinn,fighter,49.8,0.4,3.08,mythic,
,,Hirara,assassin,49.53,0.46,34.49,mythic,
,,Suyou,assassin,49.53,0.7,1.92,mythic,
,,Odette,mage,49.53,0.59,0.43,mythic,
,,Ruby,fighter,49.51,0.33,1.01,mythic,
,,Angela,support,49.49,1.55,14.5,mythic,
,,Novaria,mage,49.4,1.53,8.68,mythic,
,,Hylos,tank,49.36,0.35,1.22,mythic,
,,Alucard,fighter,49.35,0.6,0.62,mythic,
,,Lapu-Lapu,fighter,49.28,0.35,1.77,mythic,
,,Brody,marksman,49.17,0.52,1.28,mythic,
,,Cecilion,mage,49.09,0.58,0.26,mythic,
,,Aurora,mage,49.06,0.63,0.64,mythic,
,,Dyrroth,fighter,48.99,1.98,2.33,mythic,
,,Chang'e,mage,48.98,0.94,0.87,mythic,
,,Obsidia,marksman,48.95,0.49,1.26,mythic,
,,Ixia,marksman,48.94,0.89,2.28,mythic,
,,Yin,fighter,48.9,0.77,3.45,mythic,
,,Sora,fighter,48.87,0.46,7.26,mythic,
,,Yu Zhong,fighter,48.78,0.58,2.66,mythic,
