patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.92,0.19,13.81,mythic,
,,Rafaela,support,57.92,0.78,8.1,mythic,
,,Gloo,tank,57.35,0.53,58.9,mythic,
,,Masha,fighter,57.21,0.07,0.2,mythic,
,,Minotaur,tank,55.44,0.58,3.9,mythic,
,,Lolita,support,55.32,0.09,0.37,mythic,
,,Floryn,support,54.91,0.91,24.11,mythic,
,,Atlas,tank,54.47,0.99,16.01,mythic,
,,Argus,fighter,54.37,0.38,0.92,mythic,
,,Khufra,tank,54.24,0.2,0.62,mythic,
,,Sun,fighter,54.04,1.69,51.5,mythic,
,,Ling,assassin,53.92,0.79,3.06,mythic,
,,Hanabi,marksman,53.9,3.62,13.42,mythic,
,,Belerick,tank,53.75,1.44,61.41,mythic,
,,Estes,support,53.47,0.62,52.37,mythic,
,,Miya,marksman,53.24,3.48,15.97,mythic,
,,Popol and Kupa,marksman,53.2,0.34,0.27,mythic,
,,Benedetta,assassin,53.18,0.4,0.67,mythic,
,,Valir,mage,53.01,1.01,3.08,mythic,
,,Gord,mage,52.99,1.26,3.81,mythic,
,,Khaleed,fighter,52.96,0.15,0.24,mythic,
,,Melissa,marksman,52.9,1.03,4.36,mythic,
,,Hanzo,assassin,52.74,0.4,5.3,mythic,
,,Carmilla,support,52.64,0.62,1.47,mythic,
,,Irithel,marksman,52.61,0.46,0.62,mythic,
,,Diggie,support,52.54,0.19,5.46,mythic,
,,Barats,tank,52.53,0.45,1.29,mythic,
,,Hilda,fighter,52.34,0.73,7.0,mythic,
,,Silvanna,fighter,52.26,1.36,3.95,mythic,
,,Yve,mage,52.22,0.04,0.06,mythic,
,,Natalia,assassin,52.15,0.38,3.88,mythic,
,,Minsitthar,fighter,52.11,0.84,20.88,mythic,
,,Zhask,mage,52.03,0.45,0.66,mythic,
,,Yi Sun-shin,assassin,52.01,1.45,11.41,mythic,
,,Eudora,mage,51.93,2.15,36.83,mythic,
,,Terizla,fighter,51.9,0.41,0.41,mythic,
,,Cyclops,mage,51.81,0.75,0.36,mythic,
,,Kagura,mage,51.8,0.52,1.1,mythic,
,,Zetian,mage,51.65,1.52,15.67,mythic,
,,Akai,tank,51.62,0.56,13.32,mythic,
,,Bane,fighter,51.6,0.33,0.19,mythic,
,,Lukas,fighter,51.37,0.35,0.86,mythic,
,,Kadita,mage,51.17,0.77,6.83,mythic,
,,Edith,tank,51.05,0.21,0.13,mythic,
,,Uranus,tank,51.01,0.38,0.85,mythic,
,,Badang,fighter,50.94,1.03,1.24,mythic,
,,Natan,marksman,50.89,0.26,0.18,mythic,
,,Aamon,assassin,50.88,0.89,4.99,mythic,
,,Fredrinn,fighter,50.87,0.54,4.12,mythic,
,,Faramis,support,50.8,0.06,0.37,mythic,
,,X.Borg,fighter,50.76,0.67,3.75,mythic,
,,Guinevere,fighter,50.72,1.16,14.39,mythic,
,,Alice,tank,50.65,0.62,5.29,mythic,
,,Vale,mage,50.5,0.69,0.33,mythic,
,,Leomord,fighter,50.49,0.47,2.24,mythic,
,,Paquito,fighter,50.49,1.58,60.67,mythic,
,,Thamuz,fighter,50.43,1.05,2.96,mythic,
,,Aulus,fighter,50.43,0.31,0.61,mythic,
,,Roger,fighter,50.18,0.41,0.16,mythic,
,,Saber,assassin,50.16,1.04,40.94,mythic,
,,Julian,assassin,50.11,1.01,2.73,mythic,
