patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.65,0.21,15.3,mythic,
,,Rafaela,support,57.63,0.78,8.76,mythic,
,,Gloo,tank,57.01,0.51,62.9,mythic,
,,Lolita,support,56.31,0.1,0.39,mythic,
,,Masha,fighter,56.3,0.07,0.2,mythic,
,,Minotaur,tank,55.38,0.63,4.09,mythic,
,,Gord,mage,55.3,1.45,4.58,mythic,
,,Floryn,support,54.6,0.92,26.66,mythic,
,,Argus,fighter,54.4,0.37,0.89,mythic,
,,Atlas,tank,54.35,1.05,17.49,mythic,
,,Khufra,tank,54.23,0.22,0.71,mythic,
,,Ling,assassin,54.07,0.83,3.72,mythic,
,,Sun,fighter,53.9,1.66,55.16,mythic,
,,Belerick,tank,53.84,1.46,64.16,mythic,
,,Hanabi,marksman,53.52,3.6,13.27,mythic,
,,Popol and Kupa,marksman,53.5,0.34,0.26,mythic,
,,Diggie,support,53.39,0.2,5.72,mythic,
,,Miya,marksman,53.38,3.4,15.74,mythic,
,,Melissa,marksman,53.33,1.02,4.01,mythic,
,,Benedetta,assassin,53.14,0.42,0.72,mythic,
,,Hanzo,assassin,52.95,0.39,5.42,mythic,
,,Carmilla,support,52.82,0.65,1.61,mythic,
,,Barats,tank,52.76,0.42,1.03,mythic,
,,Irithel,marksman,52.76,0.47,0.64,mythic,
,,Valir,mage,52.74,1.04,3.21,mythic,
,,Khaleed,fighter,52.43,0.16,0.24,mythic,
,,Estes,support,52.39,0.62,53.62,mythic,
,,Minsitthar,fighter,52.18,0.84,21.76,mythic,
,,Silvanna,fighter,52.06,1.38,4.01,mythic,
,,Bane,fighter,51.96,0.31,0.18,mythic,
,,Lukas,fighter,51.94,0.35,0.88,mythic,
,,Hilda,fighter,51.87,0.78,7.75,mythic,
,,Kaja,support,51.87,0.14,0.71,mythic,
,,Yi Sun-shin,assassin,51.84,1.44,12.47,mythic,
,,Eudora,mage,51.74,2.16,33.35,mythic,
,,Cyclops,mage,51.72,0.76,0.33,mythic,
,,Zhask,mage,51.65,0.46,0.65,mythic,
,,Kadita,mage,51.58,0.8,7.28,mythic,
,,Terizla,fighter,51.54,0.41,0.41,mythic,
,,Zetian,mage,51.52,1.57,17.45,mythic,
,,Natalia,assassin,51.33,0.4,4.1,mythic,
,,Kagura,mage,51.19,0.51,1.14,mythic,
,,Akai,tank,51.18,0.6,15.99,mythic,
,,Faramis,support,51.14,0.06,0.37,mythic,
,,Fredrinn,fighter,50.94,0.54,4.55,mythic,
,,Alice,tank,50.91,0.65,5.64,mythic,
,,Edith,tank,50.89,0.22,0.13,mythic,
,,Badang,fighter,50.85,1.1,1.34,mythic,
,,Natan,marksman,50.84,0.26,0.17,mythic,
,,Guinevere,fighter,50.82,1.18,16.49,mythic,
,,Aamon,assassin,50.74,0.88,5.15,mythic,
,,Paquito,fighter,50.72,1.52,65.65,mythic,
,,Vale,mage,50.61,0.68,0.31,mythic,
,,Uranus,tank,50.48,0.41,0.93,mythic,
,,X.Borg,fighter,50.44,0.67,3.85,mythic,
,,Julian,assassin,50.31,0.98,2.72,mythic,
,,Aulus,fighter,50.25,0.32,0.57,mythic,
,,Leomord,fighter,50.22,0.48,2.41,mythic,
,,Sora,fighter,50.07,0.57,10.08,mythic,
,,Suyou,assassin,50.06,0.81,3.32,mythic,
,,Aldous,fighter,50.05,0.49,0.58,mythic,
,,Thamuz,fighter,50.0,1.0,2.92,mythic,
,,Saber,assassin,49.94,1.03,42.2,mythic,
,,Ruby,fighter,49.87,0.39,0.82,mythic,
,,Yve,mage,49.85,0.05,0.06,mythic,
,,Beatrix,marksman,49.83,0.6,0.63,mythic,
,,Vexana,mage,49.8,1.98,2.18,mythic,
,,Alucard,fighter,49.75,0.62,0.52,mythic,
,,Roger,fighter,49.73,0.43,0.15,mythic,
,,Brody,marksman,49.72,0.6,1.03,mythic,
,,Johnson,tank,49.42,0.91,3.15,mythic,
