patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.25,0.19,13.16,mythic,
,,Rafaela,support,57.57,0.77,8.75,mythic,
,,Gloo,tank,57.22,0.53,55.73,mythic,
,,Masha,fighter,56.57,0.06,0.18,mythic,
,,Argus,fighter,56.19,0.35,0.83,mythic,
,,Lolita,support,55.76,0.09,0.37,mythic,
,,Minotaur,tank,55.16,0.57,4.05,mythic,
,,Sun,fighter,54.83,1.73,52.01,mythic,
,,Atlas,tank,54.59,0.94,15.66,mythic,
,,Khufra,tank,54.24,0.18,0.55,mythic,
,,Floryn,support,54.12,0.83,22.1,mythic,
,,Belerick,tank,54.04,1.48,61.45,mythic,
,,Ling,assassin,54.03,0.7,2.51,mythic,
,,Hanzo,assassin,53.96,0.46,5.87,mythic,
,,Hanabi,marksman,53.94,3.91,14.35,mythic,
,,Miya,marksman,53.77,3.62,16.62,mythic,
,,Popol and Kupa,marksman,52.88,0.37,0.33,mythic,
,,Valir,mage,52.83,1.06,3.25,mythic,
,,Barats,tank,52.8,0.38,1.11,mythic,
,,Estes,support,52.74,0.63,54.41,mythic,
,,Benedetta,assassin,52.64,0.39,0.7,mythic,
,,Carmilla,support,52.61,0.58,1.69,mythic,
,,Zhask,mage,52.56,0.46,0.73,mythic,
,,Gord,mage,52.53,1.15,3.27,mythic,
,,Hilda,fighter,52.46,0.8,6.14,mythic,
,,Silvanna,fighter,52.45,1.52,4.06,mythic,
,,Melissa,marksman,52.29,1.01,4.72,mythic,
,,Minsitthar,fighter,52.28,0.82,19.55,mythic,
,,Diggie,support,52.26,0.18,4.64,mythic,
,,Natalia,assassin,52.24,0.41,4.0,mythic,
,,Irithel,marksman,52.1,0.45,0.61,mythic,
,,Zetian,mage,51.92,1.44,14.65,mythic,
,,Cyclops,mage,51.9,0.77,0.36,mythic,
,,Terizla,fighter,51.82,0.4,0.4,mythic,
,,Eudora,mage,51.79,2.06,44.03,mythic,
,,Khaleed,fighter,51.78,0.14,0.21,mythic,
,,Edith,tank,51.78,0.23,0.13,mythic,
,,Kagura,mage,51.68,0.44,1.05,mythic,
,,Akai,tank,51.45,0.56,11.16,mythic,
,,Bane,fighter,51.41,0.37,0.2,mythic,
,,Lukas,fighter,51.38,0.33,0.89,mythic,
,,Yi Sun-shin,assassin,51.24,1.41,12.14,mythic,
,,Aamon,assassin,51.14,0.96,5.86,mythic,
,,Kadita,mage,51.08,0.74,6.68,mythic,
,,Vale,mage,51.08,0.74,0.38,mythic,
,,Fredrinn,fighter,50.88,0.48,3.65,mythic,
,,Alice,tank,50.85,0.58,5.32,mythic,
,,Badang,fighter,50.78,1.0,1.09,mythic,
,,Guinevere,fighter,50.73,1.12,14.0,mythic,
,,Aulus,fighter,50.65,0.25,0.46,mythic,
,,Uranus,tank,50.58,0.38,0.82,mythic,
,,Paquito,fighter,50.52,1.51,58.51,mythic,
,,Roger,fighter,50.51,0.39,0.15,mythic,
,,Thamuz,fighter,50.42,1.04,3.12,mythic,
,,Aldous,fighter,50.38,0.51,0.66,mythic,
,,Julian,assassin,50.35,1.1,2.77,mythic,
,,Vexana,mage,50.35,2.07,2.38,mythic,
,,X.Borg,fighter,50.35,0.72,4.52,mythic,
,,Saber,assassin,50.33,1.12,42.96,mythic,
,,Natan,marksman,50.23,0.25,0.19,mythic,
,,Johnson,tank,50.07,0.94,3.27,mythic,
,,Leomord,fighter,50.03,0.38,2.16,mythic,
,,Yve,mage,50.0,0.04,0.06,mythic,
,,Sora,fighter,49.75,0.52,8.72,mythic,
,,Alucard,fighter,49.75,0.6,0.55,mythic,
,,Ruby,fighter,49.75,0.37,0.91,mythic,
,,Faramis,support,49.74,0.05,0.35,mythic,
,,Suyou,assassin,49.62,0.78,2.51,mythic,
,,Lapu-Lapu,fighter,49.62,0.41,1.48,mythic,
,,Novaria,mage,49.51,1.29,4.82,mythic,
,,Hirara,assassin,49.3,0.44,36.73,mythic,
,,Yu Zhong,fighter,49.3,0.65,2.31,mythic,
,,Angela,support,49.3,1.58,14.41,mythic,
,,Lylia,mage,49.28,0.45,0.83,mythic,
,,Odette,mage,49.16,0.56,0.35,mythic,
,,Beatrix,marksman,49.14,0.6,0.69,mythic,
,,Lunox,mage,49.13,0.17,0.23,mythic,
,,Hylos,tank,49.07,0.38,0.99,mythic,
,,Obsidia,marksman,49.05,0.51,1.18,mythic,
,,Gusion,assassin,49.02,1.76,7.86,mythic,
,,Ixia,marksman,48.9,0.91,2.14,mythic,
,,Dyrroth,fighter,48.8,1.7,1.91,mythic,
,,Chang'e,mage,48.75,0.9,0.71,mythic,
,,Brody,marksman,48.71,0.54,1.13,mythic,
,,Moskov,marksman,48.69,0.76,0.35,mythic,
,,Cecilion,mage,48.69,0.59,0.24,mythic,
,,Yin,fighter,48.66,0.63,2.7,mythic,
,,Aurora,mage,48.65,0.54,0.44,mythic,
,,Helcurt,assassin,48.51,0.94,29.42,mythic,
,,Clint,marksman,48.39,0.61,0.74,mythic,
,,Esmeralda,tank,48.34,0.88,3.22,mythic,
,,Balmond,fighter,48.25,1.22,1.24,mythic,
,,Claude,marksman,48.15,0.75,0.54,mythic,
,,Phoveus,fighter,48.14,0.29,0.92,mythic,
,,Jawhead,fighter,48.05,0.53,0.6,mythic,
,,Xavier,mage,48.0,0.51,0.18,mythic,
,,Selena,assassin,47.95,1.23,6.77,mythic,
,,Hayabusa,assassin,47.92,0.74,3.1,mythic,
,,Layla,marksman,47.72,1.36,1.32,mythic,
,,Luo Yi,mage,47.62,0.17,0.11,mythic,
,,Grock,tank,47.58,0.43,1.66,mythic,
,,Freya,fighter,47.56,0.61,2.67,mythic,
,,Martis,fighter,47.56,0.6,0.88,mythic,
,,Wanwan,marksman,47.52,0.13,0.22,mythic,
,,Nolan,assassin,47.5,0.43,1.13,mythic,
,,Nana,mage,47.5,1.85,5.37,mythic,
,,Harley,assassin,47.44,1.14,18.95,mythic,
,,Zilong,fighter,47.43,0.93,0.54,mythic,
,,Arlott,fighter,47.26,0.38,0.65,mythic,
,,Cici,fighter,47.24,0.32,1.88,mythic,
,,Karrie,marksman,47.22,0.6,1.85,mythic,
,,Kimmy,marksman,47.2,0.58,0.62,mythic,
,,Bruno,marksman,47.1,0.15,0.1,mythic,
,,Kaja,support,47.04,0.62,46.44,mythic,
,,Lesley,marksman,46.79,2.11,19.72,mythic,
,,Pharsa,mage,46.64,0.47,0.35,mythic,
,,Zhuxin,mage,46.63,0.1,0.85,mythic,
,,Joy,assassin,46.3,0.15,0.43,mythic,
,,Karina,assassin,46.24,0.7,2.57,mythic,
,,Tigreal,tank,46.11,2.39,12.82,mythic,
,,Chou,fighter,46.0,1.3,5.21,mythic,
,,Alpha,fighter,45.74,1.08,0.53,mythic,
,,Harith,mage,45.62,0.16,0.19,mythic,
