patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,59.23,0.17,11.01,mythic,
,,Rafaela,support,57.82,0.85,10.06,mythic,
,,Lolita,support,56.61,0.1,0.37,mythic,
,,Gloo,tank,56.12,0.59,50.68,mythic,
,,Argus,fighter,55.79,0.37,0.92,mythic,
,,Hanzo,assassin,55.75,0.75,21.87,mythic,
,,Masha,fighter,55.53,0.06,0.16,mythic,
,,Sun,fighter,55.28,1.7,50.49,mythic,
,,Minotaur,tank,55.08,0.54,4.34,mythic,
,,Atlas,tank,54.66,0.82,14.61,mythic,
,,Khufra,tank,54.43,0.15,0.5,mythic,
,,Belerick,tank,54.39,1.51,59.0,mythic,
,,Estes,support,54.05,0.66,56.16,mythic,
,,Hanabi,marksman,54.02,4.12,16.09,mythic,
,,Miya,marksman,53.79,3.59,18.86,mythic,
,,Popol and Kupa,marksman,53.73,0.37,0.34,mythic,
,,Floryn,support,53.67,0.82,19.8,mythic,
,,Zhask,mage,53.11,0.48,0.84,mythic,
,,Ling,assassin,53.11,0.64,1.77,mythic,
,,Valir,mage,52.97,1.09,3.37,mythic,
,,Benedetta,assassin,52.89,0.33,0.69,mythic,
,,Carmilla,support,52.79,0.58,1.74,mythic,
,,Natalia,assassin,52.61,0.44,4.17,mythic,
,,Silvanna,fighter,52.52,1.59,4.41,mythic,
,,Khaleed,fighter,52.41,0.12,0.18,mythic,
,,Gord,mage,52.39,0.99,2.52,mythic,
,,Melissa,marksman,52.34,1.15,6.99,mythic,
,,Hilda,fighter,52.31,0.83,5.43,mythic,
,,Zetian,mage,52.1,1.28,11.74,mythic,
,,Cyclops,mage,52.08,0.76,0.39,mythic,
,,Bane,fighter,52.05,0.37,0.22,mythic,
,,Minsitthar,fighter,52.01,0.79,17.62,mythic,
,,Irithel,marksman,51.97,0.42,0.64,mythic,
,,Barats,tank,51.92,0.52,1.9,mythic,
,,Eudora,mage,51.74,1.89,54.37,mythic,
,,Diggie,support,51.65,0.17,3.62,mythic,
,,Akai,tank,51.39,0.49,8.46,mythic,
,,Terizla,fighter,51.37,0.39,0.41,mythic,
,,Vale,mage,51.33,0.8,0.47,mythic,
,,Edith,tank,51.31,0.23,0.14,mythic,
,,Kagura,mage,51.29,0.42,1.19,mythic,
,,Yi Sun-shin,assassin,51.1,1.16,11.71,mythic,
,,Kadita,mage,51.06,0.71,6.91,mythic,
,,Lukas,fighter,51.0,0.32,0.92,mythic,
,,X.Borg,fighter,50.99,0.73,5.83,mythic,
,,Aamon,assassin,50.97,0.94,6.77,mythic,
,,Badang,fighter,50.87,0.92,0.97,mythic,
,,Alice,tank,50.79,0.52,4.78,mythic,
,,Aulus,fighter,50.68,0.23,0.42,mythic,
,,Guinevere,fighter,50.67,1.02,10.73,mythic,
,,Johnson,tank,50.66,0.97,3.57,mythic,
,,Paquito,fighter,50.65,1.49,54.4,mythic,
,,Saber,assassin,50.63,1.22,46.07,mythic,
,,Vexana,mage,50.58,2.12,2.75,mythic,
