patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,58.06,0.18,12.59,mythic,
,,Rafaela,support,57.99,0.78,8.68,mythic,
,,Gloo,tank,57.03,0.56,53.5,mythic,
,,Masha,fighter,56.28,0.06,0.18,mythic,
,,Lolita,support,55.61,0.1,0.37,mythic,
,,Argus,fighter,55.52,0.37,0.87,mythic,
,,Sun,fighter,54.93,1.67,52.49,mythic,
,,Atlas,tank,54.63,0.86,15.24,mythic,
,,Minotaur,tank,54.6,0.56,4.2,mythic,
,,Hanzo,assassin,54.3,0.63,7.85,mythic,
,,Floryn,support,54.21,0.83,20.64,mythic,
,,Hanabi,marksman,54.12,4.02,14.85,mythic,
,,Belerick,tank,54.11,1.46,62.08,mythic,
,,Khufra,tank,54.09,0.17,0.54,mythic,
,,Miya,marksman,53.68,3.53,16.46,mythic,
,,Ling,assassin,53.57,0.66,2.19,mythic,
,,Estes,support,53.57,0.64,54.67,mythic,
,,Carmilla,support,53.21,0.61,1.89,mythic,
,,Valir,mage,53.13,1.08,3.34,mythic,
,,Popol and Kupa,marksman,52.85,0.37,0.34,mythic,
,,Benedetta,assassin,52.79,0.38,0.73,mythic,
,,Gord,mage,52.61,1.09,3.0,mythic,
,,Silvanna,fighter,52.53,1.52,4.07,mythic,
,,Zhask,mage,52.52,0.47,0.77,mythic,
,,Melissa,marksman,52.52,1.1,5.64,mythic,
,,Natalia,assassin,52.41,0.43,3.95,mythic,
,,Hilda,fighter,52.37,0.85,6.12,mythic,
,,Diggie,support,52.33,0.17,4.09,mythic,
,,Minsitthar,fighter,52.25,0.8,19.24,mythic,
,,Barats,tank,52.24,0.35,1.02,mythic,
,,Khaleed,fighter,52.24,0.14,0.2,mythic,
,,Irithel,marksman,52.09,0.44,0.64,mythic,
,,Eudora,mage,52.05,2.03,48.77,mythic,
,,Cyclops,mage,51.93,0.79,0.37,mythic,
,,Bane,fighter,51.76,0.38,0.22,mythic,
,,Kagura,mage,51.65,0.46,1.08,mythic,
,,Zetian,mage,51.62,1.38,13.43,mythic,
,,Terizla,fighter,51.38,0.4,0.38,mythic,
