patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,59.06,0.16,9.4,mythic,
,,Rafaela,support,57.8,0.83,10.38,mythic,
,,Gloo,tank,57.34,0.6,48.4,mythic,
,,Masha,fighter,55.49,0.06,0.19,mythic,
,,Argus,fighter,55.41,0.43,1.08,mythic,
,,Minotaur,tank,55.19,0.49,3.89,mythic,
,,Sun,fighter,54.81,1.77,49.32,mythic,
,,Lolita,support,54.78,0.09,0.37,mythic,
,,Estes,support,54.63,0.65,57.51,mythic,
,,Floryn,support,54.59,0.85,19.36,mythic,
,,Belerick,tank,54.5,1.49,58.24,mythic,
,,Popol and Kupa,marksman,53.89,0.36,0.38,mythic,
,,Hanabi,marksman,53.76,4.13,17.32,mythic,
,,Khufra,tank,53.76,0.14,0.41,mythic,
,,Ling,assassin,53.53,0.51,1.48,mythic,
,,Carmilla,support,53.3,0.59,1.75,mythic,
,,Benedetta,assassin,53.15,0.35,0.69,mythic,
,,Miya,marksman,53.11,3.72,20.28,mythic,
,,Valir,mage,52.98,1.03,3.37,mythic,
,,Atlas,tank,52.81,0.73,12.98,mythic,
,,Zhask,mage,52.77,0.45,0.91,mythic,
,,Natalia,assassin,52.63,0.41,4.17,mythic,
,,Gord,mage,52.58,0.92,2.14,mythic,
,,Khaleed,fighter,52.53,0.12,0.2,mythic,
,,Hilda,fighter,52.51,0.8,5.89,mythic,
,,Diggie,support,52.48,0.16,3.65,mythic,
,,Silvanna,fighter,52.48,1.6,4.66,mythic,
,,Barats,tank,52.39,0.52,2.43,mythic,
,,Melissa,marksman,52.25,1.14,7.82,mythic,
,,Minsitthar,fighter,52.04,0.77,16.07,mythic,
,,Zetian,mage,51.88,1.23,11.13,mythic,
,,Irithel,marksman,51.87,0.41,0.69,mythic,
,,Eudora,mage,51.84,1.85,55.95,mythic,
,,Edith,tank,51.7,0.24,0.16,mythic,
,,Cyclops,mage,51.62,0.77,0.43,mythic,
,,Bane,fighter,51.62,0.4,0.27,mythic,
,,Kagura,mage,51.61,0.48,1.19,mythic,
,,Yi Sun-shin,assassin,51.59,1.16,11.12,mythic,
,,Obsidia,marksman,51.44,0.74,2.3,mythic,
,,Lukas,fighter,51.33,0.34,1.05,mythic,
,,Terizla,fighter,51.29,0.42,0.47,mythic,
,,Vale,mage,51.13,0.8,0.53,mythic,
,,Uranus,tank,51.09,0.37,0.98,mythic,
,,Aulus,fighter,50.99,0.22,0.42,mythic,
,,X.Borg,fighter,50.99,0.73,5.8,mythic,
,,Akai,tank,50.97,0.46,7.51,mythic,
,,Guinevere,fighter,50.77,0.98,9.16,mythic,
,,Hanzo,assassin,50.76,0.63,27.99,mythic,
,,Leomord,fighter,50.74,0.3,2.08,mythic,
,,Faramis,support,50.71,0.04,0.34,mythic,
,,Aamon,assassin,50.69,0.94,6.65,mythic,
,,Alice,tank,50.61,0.51,4.72,mythic,
,,Paquito,fighter,50.56,1.46,50.36,mythic,
,,Kadita,mage,50.55,0.84,6.92,mythic,
,,Roger,fighter,50.52,0.35,0.17,mythic,
,,Vexana,mage,50.5,2.11,2.87,mythic,
,,Johnson,tank,50.49,0.99,3.63,mythic,
,,Badang,fighter,50.44,0.88,0.91,mythic,
,,Fredrinn,fighter,50.34,0.41,3.2,mythic,
,,Yve,mage,50.3,0.03,0.08,mythic,
