patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Marcel,support,59.25,0.18,12.45,mythic,
,,Rafaela,support,57.58,0.79,9.15,mythic,
,,Masha,fighter,57.33,0.06,0.17,mythic,
,,Gloo,tank,57.31,0.51,56.48,mythic,
,,Lolita,support,55.7,0.09,0.38,mythic,
,,Minotaur,tank,55.06,0.57,3.96,mythic,
,,Argus,fighter,54.87,0.33,0.85,mythic,
,,Atlas,tank,54.79,0.94,15.25,mythic,
,,Sun,fighter,54.56,1.79,51.44,mythic,
,,Floryn,support,54.46,0.85,22.81,mythic,
,,Ling,assassin,54.2,0.69,2.63,mythic,
,,Belerick,tank,53.89,1.48,60.38,mythic,
,,Hanabi,marksman,53.78,3.89,14.45,mythic,
,,Khufra,tank,53.72,0.18,0.55,mythic,
,,Popol and Kupa,marksman,53.58,0.39,0.35,mythic,
,,Miya,marksman,53.54,3.67,17.67,mythic,
,,Hanzo,assassin,53.5,0.42,5.55,mythic,
,,Estes,support,53.32,0.63,54.68,mythic,
,,Carmilla,support,53.24,0.56,1.5,mythic,
,,Gord,mage,52.81,1.15,3.32,mythic,
,,Benedetta,assassin,52.71,0.37,0.66,mythic,
,,Valir,mage,52.59,1.04,3.21,mythic,
,,Melissa,marksman,52.49,1.02,4.61,mythic,
,,Zhask,mage,52.48,0.47,0.74,mythic,
,,Khaleed,fighter,52.47,0.13,0.2,mythic,
,,Barats,tank,52.42,0.39,1.15,mythic,
,,Natalia,assassin,52.41,0.4,4.15,mythic,
,,Silvanna,fighter,52.31,1.54,4.31,mythic,
,,Hilda,fighter,52.25,0.76,6.27,mythic,
,,Terizla,fighter,51.99,0.4,0.42,mythic,
,,Cyclops,mage,51.99,0.77,0.37,mythic,
,,Minsitthar,fighter,51.98,0.83,19.6,mythic,
,,Eudora,mage,51.9,2.06,42.57,mythic,
,,Diggie,support,51.89,0.18,4.76,mythic,
,,Zetian,mage,51.86,1.45,14.77,mythic,
,,Irithel,marksman,51.79,0.45,0.61,mythic,
,,Kagura,mage,51.79,0.44,1.08,mythic,
,,Lukas,fighter,51.54,0.32,0.84,mythic,
,,Yi Sun-shin,assassin,51.53,1.35,11.45,mythic,
,,Kadita,mage,51.36,0.74,6.75,mythic,
,,Edith,tank,51.2,0.22,0.13,mythic,
,,Akai,tank,51.19,0.54,10.92,mythic,
,,Bane,fighter,51.09,0.37,0.21,mythic,
,,Vale,mage,51.0,0.75,0.39,mythic,
,,Aulus,fighter,50.91,0.26,0.47,mythic,
,,Natan,marksman,50.8,0.25,0.18,mythic,
,,X.Borg,fighter,50.8,0.7,4.1,mythic,
,,Roger,fighter,50.77,0.41,0.16,mythic,
,,Paquito,fighter,50.76,1.54,57.92,mythic,
,,Aamon,assassin,50.75,0.95,5.61,mythic,
,,Badang,fighter,50.69,1.0,1.17,mythic,
,,Alice,tank,50.65,0.58,5.3,mythic,
,,Guinevere,fighter,50.62,1.11,12.57,mythic,
,,Fredrinn,fighter,50.61,0.48,3.71,mythic,
,,Leomord,fighter,50.61,0.39,2.14,mythic,
,,Thamuz,fighter,50.56,1.06,3.22,mythic,
,,Uranus,tank,50.48,0.38,0.84,mythic,
,,Julian,assassin,50.46,1.11,3.01,mythic,
,,Vexana,mage,50.29,2.11,2.45,mythic,
,,Saber,assassin,50.23,1.13,43.62,mythic,
,,Aldous,fighter,50.16,0.52,0.69,mythic,
,,Lapu-Lapu,fighter,49.91,0.41,1.48,mythic,
,,Faramis,support,49.89,0.05,0.35,mythic,
,,Suyou,assassin,49.83,0.76,2.48,mythic,
,,Hirara,assassin,49.82,0.45,35.44,mythic,
,,Novaria,mage,49.81,1.28,4.74,mythic,
,,Johnson,tank,49.67,0.94,3.44,mythic,
,,Yve,mage,49.62,0.04,0.06,mythic,
,,Lylia,mage,49.6,0.45,0.84,mythic,
,,Odette,mage,49.53,0.56,0.36,mythic,
,,Sora,fighter,49.49,0.5,8.11,mythic,
,,Obsidia,marksman,49.36,0.51,1.16,mythic,
,,Alucard,fighter,49.33,0.62,0.58,mythic,
,,Brody,marksman,49.3,0.54,1.08,mythic,
,,Yu Zhong,fighter,49.26,0.64,2.27,mythic,
,,Ruby,fighter,49.22,0.36,0.85,mythic,
,,Angela,support,49.1,1.62,15.11,mythic,
,,Gusion,assassin,48.95,1.82,8.2,mythic,
,,Ixia,marksman,48.88,0.92,2.15,mythic,
,,Helcurt,assassin,48.84,0.94,30.32,mythic,
,,Cecilion,mage,48.83,0.59,0.23,mythic,
,,Moskov,marksman,48.8,0.77,0.35,mythic,
,,Yin,fighter,48.77,0.63,2.8,mythic,
,,Dyrroth,fighter,48.74,1.69,1.89,mythic,
,,Hylos,tank,48.69,0.36,0.92,mythic,
,,Aurora,mage,48.68,0.55,0.45,mythic,
,,Esmeralda,tank,48.64,0.87,3.19,mythic,
,,Lunox,mage,48.64,0.18,0.22,mythic,
,,Zhuxin,mage,48.58,0.09,0.83,mythic,
,,Balmond,fighter,48.57,1.23,1.27,mythic,
,,Clint,marksman,48.54,0.61,0.74,mythic,
,,Beatrix,marksman,48.48,0.56,0.66,mythic,
,,Xavier,mage,48.46,0.47,0.17,mythic,
,,Chang'e,mage,48.38,0.92,0.76,mythic,
,,Claude,marksman,48.31,0.75,0.54,mythic,
,,Jawhead,fighter,48.23,0.53,0.6,mythic,
,,Selena,assassin,48.21,1.23,7.24,mythic,
,,Bruno,marksman,48.19,0.15,0.1,mythic,
,,Phoveus,fighter,48.12,0.27,0.92,mythic,
,,Hayabusa,assassin,48.1,0.74,3.17,mythic,
,,Cici,fighter,47.87,0.3,1.75,mythic,
,,Arlott,fighter,47.86,0.38,0.67,mythic,
,,Karrie,marksman,47.74,0.6,1.79,mythic,
,,Layla,marksman,47.59,1.38,1.33,mythic,
,,Grock,tank,47.56,0.43,1.67,mythic,
,,Wanwan,marksman,47.56,0.12,0.21,mythic,
,,Kaja,support,47.47,0.64,46.87,mythic,
,,Zilong,fighter,47.44,0.93,0.55,mythic,
,,Martis,fighter,47.44,0.6,0.85,mythic,
,,Nolan,assassin,47.43,0.43,1.13,mythic,
,,Luo Yi,mage,47.43,0.17,0.11,mythic,
