patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Rafaela,support,58.08,0.89,11.01,mythic,
,,Marcel,support,57.43,0.14,8.56,mythic,
,,Gloo,tank,57.09,0.5,49.18,mythic,
,,Argus,fighter,56.05,0.47,1.29,mythic,
,,Minotaur,tank,55.89,0.51,5.04,mythic,
,,Lolita,support,55.54,0.08,0.34,mythic,
,,Sun,fighter,55.41,1.75,44.96,mythic,
,,Estes,support,55.11,0.66,61.15,mythic,
,,Belerick,tank,54.56,1.5,58.72,mythic,
,,Popol and Kupa,marksman,54.42,0.35,0.39,mythic,
,,Masha,fighter,54.31,0.06,0.21,mythic,
,,Floryn,support,54.28,0.82,19.3,mythic,
,,Hanabi,marksman,54.22,4.17,18.51,mythic,
,,Atlas,tank,53.81,0.67,12.48,mythic,
,,Khufra,tank,53.77,0.13,0.38,mythic,
,,Miya,marksman,53.55,3.99,23.44,mythic,
,,Zhask,mage,53.38,0.45,0.99,mythic,
,,Carmilla,support,53.38,0.55,1.73,mythic,
,,Valir,mage,53.35,1.05,3.69,mythic,
,,Ling,assassin,53.17,0.44,1.11,mythic,
,,Hilda,fighter,52.98,0.83,13.49,mythic,
,,Barats,tank,52.97,0.58,3.62,mythic,
,,Silvanna,fighter,52.73,1.65,5.23,mythic,
,,Benedetta,assassin,52.67,0.29,0.66,mythic,
,,Natalia,assassin,52.58,0.44,4.36,mythic,
,,Bane,fighter,52.58,0.36,0.29,mythic,
,,Khaleed,fighter,52.39,0.11,0.18,mythic,
,,Minsitthar,fighter,52.36,0.74,10.82,mythic,
,,Gord,mage,52.31,0.86,1.97,mythic,
,,Terizla,fighter,52.04,0.38,0.45,mythic,
,,Zetian,mage,51.84,1.16,10.01,mythic,
,,Roger,fighter,51.7,0.32,0.18,mythic,
,,Diggie,support,51.63,0.14,2.93,mythic,
,,Cyclops,mage,51.59,0.79,0.51,mythic,
,,Eudora,mage,51.56,1.8,58.68,mythic,
,,Melissa,marksman,51.54,1.18,10.29,mythic,
,,Yi Sun-shin,assassin,51.33,1.18,10.63,mythic,
,,Uranus,tank,51.31,0.35,0.83,mythic,
,,Hanzo,assassin,51.21,0.63,28.26,mythic,
,,Aamon,assassin,51.18,0.95,7.69,mythic,
,,Vale,mage,51.14,0.8,0.54,mythic,
,,X.Borg,fighter,51.12,0.71,5.41,mythic,
,,Edith,tank,51.09,0.24,0.16,mythic,
,,Kagura,mage,51.09,0.46,1.28,mythic,
,,Obsidia,marksman,51.04,0.69,2.82,mythic,
,,Lukas,fighter,50.99,0.35,1.87,mythic,
,,Akai,tank,50.97,0.43,4.54,mythic,
,,Johnson,tank,50.96,1.0,3.78,mythic,
,,Vexana,mage,50.72,2.26,3.27,mythic,
,,Julian,assassin,50.69,1.04,2.88,mythic,
,,Leomord,fighter,50.69,0.24,1.56,mythic,
,,Kadita,mage,50.65,0.71,6.55,mythic,
,,Alice,tank,50.65,0.5,7.17,mythic,
,,Irithel,marksman,50.61,0.38,0.64,mythic,
,,Paquito,fighter,50.55,1.48,45.72,mythic,
,,Guinevere,fighter,50.46,0.9,7.54,mythic,
,,Saber,assassin,50.4,1.31,48.24,mythic,
,,Badang,fighter,50.24,0.88,0.81,mythic,
,,Fredrinn,fighter,50.17,0.35,3.46,mythic,
,,Thamuz,fighter,50.14,1.27,4.95,mythic,
,,Aldous,fighter,50.01,0.54,0.87,mythic,
,,Hirara,assassin,49.94,0.5,36.85,mythic,
,,Yve,mage,49.87,0.02,0.09,mythic,
,,Hylos,tank,49.84,0.34,0.88,mythic,
,,Aulus,fighter,49.82,0.18,0.38,mythic,
,,Lylia,mage,49.73,0.47,1.15,mythic,
,,Suyou,assassin,49.63,0.71,2.18,mythic,
,,Chang'e,mage,49.56,0.95,1.0,mythic,
,,Lapu-Lapu,fighter,49.51,0.36,1.41,mythic,
,,Odette,mage,49.43,0.6,0.53,mythic,
,,Natan,marksman,49.37,0.22,0.22,mythic,
,,Aurora,mage,49.23,0.66,0.78,mythic,
,,Yin,fighter,49.11,0.84,4.01,mythic,
,,Cecilion,mage,49.1,0.57,0.3,mythic,
,,Alucard,fighter,49.04,0.59,0.62,mythic,
,,Novaria,mage,48.98,1.47,10.55,mythic,
,,Ruby,fighter,48.92,0.3,0.95,mythic,
,,Helcurt,assassin,48.87,1.0,20.52,mythic,
,,Sora,fighter,48.84,0.42,7.05,mythic,
,,Angela,support,48.83,1.56,15.49,mythic,
,,Yu Zhong,fighter,48.82,0.59,2.53,mythic,
,,Brody,marksman,48.77,0.46,1.32,mythic,
,,Hayabusa,assassin,48.68,0.79,5.57,mythic,
,,Dyrroth,fighter,48.56,2.25,3.07,mythic,
,,Jawhead,fighter,48.51,0.56,0.85,mythic,
,,Selena,assassin,48.49,1.2,7.1,mythic,
,,Faramis,support,48.48,0.04,0.31,mythic,
,,Beatrix,marksman,48.4,0.47,0.75,mythic,
,,Gusion,assassin,48.38,1.63,8.44,mythic,
,,Nana,mage,48.33,2.51,8.16,mythic,
,,Ixia,marksman,48.31,0.87,2.52,mythic,
,,Esmeralda,tank,48.23,0.76,3.28,mythic,
,,Grock,tank,48.22,0.37,1.3,mythic,
,,Layla,marksman,48.12,1.77,2.22,mythic,
,,Luo Yi,mage,48.11,0.15,0.12,mythic,
,,Lunox,mage,47.92,0.13,0.33,mythic,
,,Clint,marksman,47.91,0.49,0.81,mythic,
,,Cici,fighter,47.85,0.28,1.9,mythic,
,,Kaja,support,47.83,0.34,19.35,mythic,
,,Xavier,mage,47.82,0.53,0.28,mythic,
,,Balmond,fighter,47.81,1.07,0.99,mythic,
,,Phoveus,fighter,47.56,0.25,1.59,mythic,
,,Martis,fighter,47.48,0.63,0.88,mythic,
,,Harley,assassin,47.43,1.24,17.51,mythic,
,,Nolan,assassin,47.29,0.47,2.01,mythic,
,,Moskov,marksman,47.26,0.77,0.49,mythic,
,,Claude,marksman,47.24,0.54,0.54,mythic,
,,Pharsa,mage,47.19,0.47,0.48,mythic,
,,Zilong,fighter,47.06,1.26,1.02,mythic,
,,Baxia,tank,46.92,0.06,0.17,mythic,
,,Freya,fighter,46.88,0.65,4.12,mythic,
,,Arlott,fighter,46.85,0.3,0.52,mythic,
,,Zhuxin,mage,46.78,0.06,0.47,mythic,
,,Kimmy,marksman,46.72,0.55,0.67,mythic,
,,Alpha,fighter,46.72,1.32,0.84,mythic,
,,Wanwan,marksman,46.56,0.1,0.28,mythic,
